,low_comment_True
1435,정상인은 보배인걸로
1436,크 사냥하는장면이 필요하긴한데 씬을 다잡아먹는거 같음 ㅇㅇ...
1437,"솔직히 말해서 이웹툰 지금 스토리가 제일 큰 문제인거같은데
독자들은 반장 얼굴에만 관심이 있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
1438,"대머리 아저씨 : 큭큭 너의 겨에 칩을 박았지 내 일에 잠자코 협조하지 않으면 이 버튼을 눌러 폭파시켜주마
15살 여중생 : (덜덜덜)
대머리 아저씨 : 다시 사과맛 살충제맛을 보고싶다면 거역해보라구? 아니면 9번 버튼을 눌러 너의 어깨위 부분을 흔적도 안남게 두개골째로 폭파시켜줄까? 말만 잘들으면 풀어주마 난 사람을 한명 살리고 싶을 뿐이야

이랬으면 반응 어땠을지 궁금"
1439,덴마카페보면 독자가 만든 덴마결말있는데 오셔서 꼭 한번 보세요!
1440,2인자는 원래 롯임. 다들 기억안나? 냉장고속 마약을 엘한테 공급한게 롯이잖아 자기 지분율까지 말했고. 그런데 롯도 아니고 마왕도 아니고 가이린이 엘가를 지배한다고? 롯이나 마왕은 바보냐? 자기 주인 여친한테 복종ㅋㅋㅋㅋ
1441,전혀 실망스럽지 않습니다. 양형은 원래 독자보기를 개같이 봣니으니까요.
1442,떠나간 인연에 집착하지 말고 남아있는 인연을 지킬 생각을 해라
1443,독감이 독한감기가 아니예요... 감기랑 달라요... 병원에서 자가격리얘기 못들으셧나요... 
1444,이런 쿠키를 낚는 기술은 필요 없는데
1445,"설레이는 이 마음은 뭘까 웬지 잠을 이룰수가 없어

혹시 꿈을 꾸고 있는지 나는 몰라

내가 있는 곳 여기가 어딘지 언제부터 시작돼온 건지

아무도 내게 말안해 가르쳐 주지 않아

눈으로 볼 수 있는 세상이 너무나 작다는 걸 알았어

바람에 실려온 세상 저편의 소식들 궁금해

안녕 디지몬 내꿈을 꾸면서 잠이 들래

안녕 디지몬 친구들 모두 안녕

안녕 디지몬 너와 함께하고 싶어

안녕 디지몬 난 너를 찾아갈래

어디선가 넌 가만히 다가와 나의 손을 잡아줄 것 같아

미지의 세상 그곳에 나를 데려다 줘

조용히 눈을 감고 있으면 저 파란 하늘 높이 날아가

모두가 꿈꾸던 환한 세상에 보이는 것 같아

안녕 디지몬 내꿈을 꾸면서 잠이 들래

안녕 디지몬 친구들 모두 안녕

안녕 디지몬 너와 함께하고 싶어

안녕 디지몬 난 너를 찾아갈래

안녕 디지몬 내꿈을 꾸면서 잠이 들래

안녕 디지몬 친구들 모두 안녕

안녕 디지몬 너와 함께하고 싶어

안녕 디지몬 난 너를 찾아갈래"
1446,지로를 쫓아낸 고산이 약에 빠지길 내심 바랬었는데 막상보니깐.. 마음이 아프네
1447,우리 아빠가 술한잔 하시고 스토리짜도 이것보다는 잘나올듯
1448,스토리진부해서 결말이보이는듯..
1449,"발락의 사망플래그 섰다..
믓시엘.."
1450,과연 10달동안 못본 여자친구가 애를 낳았다고 했을때 저런 반응 보이는 애들이 있을까
1451,"난 조석이 싫다.
이렇게 분량을 많이그려놓고 별점 7.1점을 받으려고 하다니...
사악하군"
1452,그림작가님 부당한대우를 받고있다면 다음화에 바스코를 그려주세요
1453,만화가 안올라오는 것을 보아 드디어 만화때려친듯
1454,네 전개에 잠이오냐??
1455,"나도 가볍게 볼만한거 같은데 
왜들구랴..  "
1456,오늘 스토리: 백호 등☆장>으쌰으쌰 맞서서싸우>즈아엌끅 강하닷>하지만 이겼>다는 느낌이 들었지만 아니고 난 니가알던 안보현이 아냐아악>린린 이쁘네
1457,주인공이니까!!
1458,여보 아무말이나해봐!!
1459,이제 그만 저무리에서 보배를 놔주세요...
1460,남자에 미쳤다가 보다는 트라우마에 잠식된 여잔거 같은데.. 민호오빠도 결국 자기가 되고싶은 보배와 같은 인물상을 남자에 투사해서 집착하고 있는건 아닐까. 나는 오수 불쌍한데.. 우울증에다 거식증 환자로 치료가 필요한 환자처럼 보임..
1461,"n 년 후
이사 : 끄어억.. 유다 니가 어떻게 나를
유다 : 이사. 모든건 네 질투와 이기심이 초래한거야."
1462,지로는 약을 그만둔다는걸까?인생을 그만둔다는걸까?지로니까 헷갈려...
1463,작화는 인정 근데 블레이드노트 사건을 해결하고왔으면 얼마나좋았을까 싶음
1464,내가 베댓되면 쌈바추는 사람 하고 같이춤
1465,"배댓님 현역 군 복무중인 독자입니다.
들어와서 보시면 되요"
1466,왕규가 우리엄마 욕함...ㅇ.ㅇ;;
1467,"알림 개꿀ㅋㅋㅋㅋㅋㅋㅋㅋ
뭔가 잊고있었는데 떠서 들어와보면 개기쁨 이거 ㄹㅇ임 비아냥이 아니라 진짜로 업뎃됐나? 하고 들어갔는데 안 되있는거보다 맘 놓고있다가 짜잔 하고 올라오는게 거의 혁신ㅎ"
1468,현실 맞음 나이먹을수록 사람일은 상식대로 흘러가지 않음 ㅋㅋㅋ
1469,"아 미오 쟤는 지금까지 지은이한테 막대한거 사과나 쳐하지 칼 쥐고 또 위협적으로 따지고 들어오네 사과가 아니라 하물며 감사인사는 했냐? 
고통에서 뒤척이다가 깨어난 은인한테 칼들고 하는 말뽄새보소ㅋㅋ 그리고 작가님 푹쉬다 오세요!!"
1470,갑자기 변신물 에반데 ㅋㅋㅋㅋㅋ
1471,오늘은 볼만하누
1472,작가님 혹시 누군가에게 협박을 당하시면서 그리시는거라면 다음화에 당근을 그려주세요.
1473,작가쉴드가 아니구 네이버 웹툰 독자 특유의 거지근성이 ㅈ같은거임 ㅠㅠ..;
1474,"와  진짜 한국인  종특이라해야하나 대단하다 진짜
이 작품이 대단하다 작화 좋다 쉴드는 아니고 그냥 그저 그런 재밌게 심심풀이로 보는 지나가며 보는 웹툰 정도?
근데 베댓 보면 진짜 가관이네 이 정도 수준의 그림체도 안되지만 막가 무조건 웃긴척 ??굳이 예로 달수네, 브로콜리 작품요ㅇㅇ 물론 저도 그 작품 좋아하는데 까다롭게 안보면 그냥 피식 웃으면서 볼 걸 ㅈㄹㅈㄹ ...
그림체만 여성향 팬픽 일러처럼 그저 그런 스토리로 예쁘게만 그리는건 어또케ㅠㅜ 하면서 이런건 욕 나오나봐요?
적당히 좀 합시다..."
1475,애초에 천수보살이 난세한테 신내림을 내릴려고 하지만 않았어도 이 사단이 일어나지 않진 않았을까... 라고 생각해봅니다.
1476,ㄹㅇ... 쿠키로 갑질하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이제야 3편인데 뭐 원하는 스토리 안나와ㅛ다고 작가 욕을 해
1477,반장쫌 이쁘게 그렸으면 이런소리 안나왔을듯ㅋㅋㅋㅋ 외모지상주의개쩐다
1478,아영이 저년 볼 빨개지는거 암걸릴것같아
1479,2번째 베댓이 자기가 거짓말한데요
1480,최강전설 럭키짱
1481,하차 하겟습니다 수고하십쇼
1482,전개 은근 빠른데?ㅋㅋ
1483,개웃기누 7.77ㅋㅋㅌㅋㅋㅋㄲㅋㅋㅋ여윾시 기안독자들ㅍㅋㅇㅋㅋㅌㅋ
1484,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 이웹툰 신의 탑인 줄 알고 다시 위에 보고 왔잖아 ㅋㅋㅋㅋㅋ 개자연스럽네
1485,저거 중간에 여의에 번개치는거 중모리인듯? 진모리가 중모리한테 힘들어하는 장면 나올거같아서 무섭...
1486,나는 나중에 커서 여주처럼 되지 말아야 겠당
1487,친미에서 친중으로 갈아탔으면 욕먹을만하지 ㅋㅋ창주쉑 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1488,re:제로부터 시작하는 다이서 생활
1489,"박일표 저거 늙은 옥황한테 여래의 검만으로도 져서 죽을뻔 한 주제에 지금의 한대위랑 비비려 드네
대위야 여우목도리나 하나 만들자"
1490,반장 참치한테 물려 죽는걸로하죠
1491,"너무 답답하고 볼때마다 짜증나긴 하는데
왜그런가 곰곰 생각해보니 오수 감정선이 너무 적나라해서 그런 것 같다
남자는 모르겠으나 여자는 저렇게까지 꼬이진 않았더라도 경험해봤거나 주변에서 본 적 분명이 있을것이다
제발 이번에피소드 빨리 마무리되길... "
1492,덴마는 나중에 철학으로 분류되겠다
1493,"초반에 재밌게 봤었으나..중간에 스킬노가다편으로 거진 두달을 우려먹었던걸로 기억...
그후 뜬금없는 반장의 여주화.
중간에 아크컴퍼니와의 전투때 쪼금 재밌었으나 분량의 짤막함...

그리고 현재는..그냥 정으로 보고있는중....
작가님..모든걸 다 하실 수 없다는 건 알고 있습니다.
하지만..적어도..다음화가 어떤내용인지 궁금함을 심어줄수 있는 그런 웹툰이 되었으면 합니다.."
1494,몇혼지는 어케 알았대
1495,"모바일로 봐지는데 지내들이 못보르걸로 저럼;;;
그리고 뮤비 좋기만하구만ㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㄱ아진심 지금 배댓들좀 이글보고 찔렸으면좋겠다"
1496,솔직히 그림은 예술의 경지에 도달했음;;
1497,"첫 베뎃님 성안에서 하늘을 올려다볼 수 있다는 것은 성 천장이 완전히 박살났다는 뜻이겠죠. 제 생각에는 마왕성 자체가 워낙 튼튼해서 이제까지 부서진 적이 없었는데(라만이 마왕성을 부수지 못한것을 보면 알 수 있습니다)무슨 듣보 같은 암흑왕이 마왕의 힘을 흡수했는데 역시 듣보답게 아람이의 요력을 맞고 죽었죠. 그리고 그 요력의 영향으로 마왕성이 파괴되었으니 작가님이 아람이가 이제 요력을 이정도로 끌어낼 수 있다. 즉,아람이가 이정도로 성장했다!라는 것을 보여주기 위해 막컷을 그리신 것 같습니다."
1498,서나 작가님한테 한 짓 아직 잊혀지지 않았습니다.
1499,한국 좆툰판의 현실을 보여주는 훌륭한 예
1500,"작가님 옛날로 돌아갑시다. 지호 괴롭히던 3인방 있죠? 현도랑 나머지 두명!
다시 지호 꼬봉시키며 괴롭히는 장면들 제발 많이 그려주세요. 지호는 꼬봉 역할 할 때가 보기 제일 좋았음"
1501,"요즘 작화가 왜이리 예쁜가 했더니 예쁜애 둘이 많이 나와서였음 ㅋㅋㅋㅋㅋ 
다크템플러와 하이템플러의 만남 굳"
1502,근데 여기서 의문점 셀리는 도움 되기는 한는건가??
1503,컷 더내면 출판에 따라잡힌다는거...즉...기존 웹툰들 분량이 너무 많단거임 ㅋㅋ....아 넘 슬프네
1504,"양형은 진짜 대단한 분이다.
하아켄이 ""갈게"" 하고 나가는 걸 지켜보는 가이린의 모습 중에서 문을 잡고 마냥 바라보다가 무슨 할 말이 있는 듯이 손을 들었다가 내려놓는 저 모습...못내 아쉬워하는 저 뒷모습...
이런 귀여운 그림체로도 저런 사사로운 인간의 감정들을 하나하나 표현해내고있다. 마치 양형에게 할 말이 산더미 같지만 댓글 써봤자 쉽게 묻혀버릴 걸 알고 스마트폰을 들었다가 내려놓는 내 모습과 같아... 믓시엘"
1505,지은 누나 왜 눈이 죽어가...ㅜㅠ 솔직히 마음 같아서는 주인공 커플이고 엑스고 나발이고 다 꺼지고 지은 누나만 살아남아서 행복해졌으면 좋겠다.
1506,이렇게 질질끌어서 오수는 민호오빠가 자기 안 좋아하는거 알려면 한 대충 3달 더 걸리는거 맞죠?
1507,우리 권시연이 분량 좀 챙겨줘요ㅠㅠ
1508,앜ㅋㅋㅋㅋㅋ별점만들라곸ㅋㅋㅋㅋㅋ대박
1509,"솔까 얘네 나올때말고 지,은,현 나올때만큼은 꿀잼인데 계속되는 지각때문에 평가가 바닥을 치는듯.. 지각만 안해도 물타기로 까일일 없음"
1510,샾이 공자 야설보고 감동해서 전사체 키워준다에 한표
1511,"오킹....
역시 난 트수인가봐..."
1512,축하해 양형 목요웹툰중에 가장 일찍 업데이트 됐어 !
1513,저 운반방법은 실제로 특수부대에서 쓰는 풀톤회수시스템입니다
1514,"아랍어 번역기 돌리고왔다. 왜 베댓인가했네

나는 동물원에 갔다. 그리고 나는 기린 코끼리 코끼리 코뿔소를 보았다. 호랑이 표범 악어 하마 돌고래 금과은 낙엽 상아 낙타 상어. 동물 나는 구리와 나트륨 수소 루비 사파이어를 보았다"
1515,나 엄청 착한 거 잘 알잖아! 살려줘!
1516,"
빵봉투  
고산이 쓸때도 다이크가 쓸때도 간지 인거보면 
8우주 머스트 헤브 아이템이다"
1517,억지는 아니구 조슈아의 환생 퀑이 인과율에 얼마나 큰 영향을 줄 수 있는지 보여주는 화 같은데. 그래서 발락이 퀑능력 쓸 때마다 혼내는 거고.
1518,"수 오늘 
강수확률10% 
강수확률20% 
최저,최고 온도-10°/-1°목 내일
 
강수확률20% 
강수확률20% 
최저,최고 온도-6°/4°금 모레
 
강수확률20% 
강수확률30% 
최저,최고 온도-2°/5°토 1.12.
 
강수확률30% 
강수확률10% 
최저,최고 온도-2°/6°일 1.13.
 
강수확률10% 
강수확률10% 
최저,최고 온도-3°/5° 진짜 더럽게 춥네"
1519,허허..
1520,"호스텔의 계획 (1/17)
재원고vs호스텔(1/24)
돌아온 박지호(1/54)
"
1521,"양영순 : 이번화.

덴경대 : 땡큐!
              우와!... 이번엔 내가 좋아하는 떡밥만 들었네!"
1522,"점점보는사람이 떠나간다.. 
웹툰이 뒤로 아래로 가고있어 작가님 걱정마요
뒤에서1등 할수있어요!!!"
1523,"지로 얼굴을 아직까지 공개 안하는 이유는 뭘까?
살이 적당히 잘 붙고 훈남으로 변신한 지로를 보여주기 위해 얼굴 공개를 안하고 있다? 그건 아닐 것 같다.. 
이제껏 가면쓴 인물들과 같이 얼굴을 숨긴 캐릭터들은 얼굴 공개와 동시에 극적인 반전을 보여주었다.
양형은 반전을 극대화하기 위해 아끼고 아끼면서 상황을 만들어 나가고 있다고 본다. 
주로 양형이 사용한 방법은 이전에 등장하여 독자가 충분히 인지하고 있는 인물이 알고보니 가면의 주인공이라는 방식(고산, 다이크 등)을 사용하였다. 
그렇다면... 약물의 중독에서 벗어난 지로의 얼굴은 이미 등장 하였을 것이다. 
이제부터 그간 나왔던 단서로 지로를 찾아보았다.
단서는 헤어 스타일과 흰 머리칼, 이마 중간에 마크, 체형, 눈매..
이마 마크는 좀 달라 질수 있다고 가정하고 
위 단서를 중심으로 덴마에 등장한 인물들을 처음부터 다시 살펴보니 양형의 치밀한 복선과 떡밥에 다시한번 감탄할 수 밖에 없었다. 글자수가 500자가되어 마친다.
"
1524,하지만 시즌 3가 돌아왔다
1525,ㅋㅋㅋㅋㅋㅋ아니 손내밀길래 잡고 일어서라는건가 하고 생각했는데 시계 내놓으랰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1526,"라떼 허니님
님같으면 초심자때 배운스킬을 저 개노가다를 해서 키운몸으로 쓰겠어요?
저런 오의 날릴수있는데 약할때 흑우짓해서 산 스킬을 잘도 쓰겠네요"
1527,"그동안 콴의 냉장고편을 봐주신 여러분께 감사합니다
다음주부터는 하데스의 냉장고를 부탁해로 찾아뵙겠습니다"
1528,"저 선농이 팔이 있는 일본어는 ""사이코마데"" 마지막까지 라는 뜻입니다!"
1529,"예전에는 매화마다 제목의 뜻을 해석해주는 분도 있고 스토리에 대해서 추리하는 코난들이 많았죠. 그만큼  스토리가 흥미진진하고 제목마다의 의미가 있어서였는데 요즘은 흥미진진하지도 않고 질질끌고 진도는 안나가고 캐릭터는 성격,행동이 바뀔만한 계기도 없는채 막바뀌죠. 바뀌는거 자체가 문제가 아니라 왜 바뀌었냐에 대한 설명이 없다는것입니다. 그리고 1화마다 댓글로 얘기할만한 내용이 없습니다. 그러니까 베댓에는 비판,비난만 남는거죠. 한 화에 많은 내용을 담거나 이야기할 껀덕지를 남겨주세요. 초반엔 재밌어서 봤는데 지금은 지금까지본게 아까워서 오기로 보는데 심각한거같아서 댓글을 남겨요. 그림퀄리티도 손에 꼽을만큼 좋다보니, 작가님이 매주 고퀄그림으로 마감하다보니 스토리구상을 못하시는건 아닌가 싶네요. 휴식기간을 가지고 스토리 재구성하는것도 나쁘지않다고 봐요. 작가님 응원합니다."
1530,지금글쓰면 배댓될각인데
1531,썸네일 소름돋아버렸네.  
1532,보자마자 아그네스인건 알았고 혹시 저게 쌩얼인가했네ㅋㅋㅋㅋ
1533,행성전체에 퀑능력을 발휘한다면 그 퀑은 거기 상주하고있어야 하는데 한군데에 상주하는 그런사기퀑이라면 평의회가 파장감지하고 인과율 조절을 위해 헬맨을 보냈을 것임
1534,닭강정 먹고 싶다
1535,"연애혁명이랑 눈치게임하나,,,"
1536,눈치 겁나주네 20살에 뜬금없이 애아빠돼서 자기 꿈 다버리고 책임지는데 내가 한 선택이니까 책임지고싶어 어쩌구 하더니 결국 엄마한테 애맡기고 놀러나가기ㅋㅋㅋㅋ
1537,제트를 가두고 머리까지 날리려한 야와님...제가 야와님의 진의를 못 알아뵈었습니다.ㅠㅠ
1538,작가님 만화 최고예요!!!!!!!!!! 나쁜 사람들 악플에 신경쓰지마세요 <<<독자님들은 웹툰 내용 외의 댓글 혹은 공격성 짙은 댓글을 삼가해주세요>>>
1539,그래 부부싸움 스케일이 이정도는 되야지
1540,웬만하면 별점깎이는거 싫어하는 팬들이 이렇게 깎을땐 그만큼 지각이 정도를 넘어섰다는 얘기
1541,"노벨의 장수 근거
얼굴보다 이름 먼저 등장 : 생존률 50%상승
외모묘사에 심혈을 기울인 흔적이 역력 : 생존률 30% 상승
엘의 큰그림 : 생존률 20% 상승
놉 사망각 근거
공자가 목딴다는 데바림 예언 & 주제 망각 & 뒈진 1대고산 외모와 닮아감"
1542,와... 이진성 벌써부터 불쌍하다. 전투력측정기답게 새로 태어난 지호한테 첨엔 압도하는척 하다가 결국 쳐발리는 역할 담당하겠지.
1543,현실적이다
1544,R.I.P 개웃기네ㅋㅋㅋㅋㅋㅋㅋ
1545,그 와중에 공자만 땀 안흘림. 갓공자 클라스
1546,와 네카르에서의 선한 성품과 비즈니스는 별개구나....
1547,"근데 박일표는 진모리 죽이려는 건가???
초반에는 지 동생처럼 챙긴다고 약속하고 다 하더니 지금 보니까 죽이고 싶어서 환장 한거같네ㅋㅋ"
1548,하위인이유는 설마 아직 그이유 ??
1549,"만약 2등을 뽑는 대회가 있다면 홍진호는 그 대회에서 1등일까 2등일까?
만약 2등을 뽑는 대회가 있다면 홍진호는 그 대회에서 1등일까 2등일까?"
1550,그녀의MP가 전부소모되는 바람에 그녀는 떨어지고 말았다. 지한이는 구하려 했지만 이미 그녀는 싸늘한 시체가 되어있었다.
1551,근데 이제 국보가 별의미가있나?
1552,"여러분 이거 수정된겁니다. 원래 처음 올라왔을때엔 주인공이 샤워후 가운만 입은 채로 침대에 누웠을때 수건 사이로 주인공의 다리에서 배꼽까지 피부색으로 드러나 있는 컷도 있었고, 남자친구랑 카톡나누면서 차일까봐 걱정하는 나레이션, 임신에 대한 정보를 검색하고 나온 피흘리는 임산부컷 등 여러가지 있었습니다. 지금은 웹툰내에 삭제되어있는데..  아깐 더 많이 심각했었죠.... 배댓들이 괜히 비판하고 있는게 아니라구요....."
1553,신윤환이 보러 여까지 올정도면 독자들도 사실은 이 만화를 좋아하는게 아닐까?
1554,성상영이 이거 만화로 생각하겠냐ㅋㅋㅋㅋ그냥 돈 줄로 생각하는거지ㅋㅋㅋㅋㅋ
1555,희야//지은이를 싫어하는게 아님 싫어하게 된거지 ㅋㅋ초반엔 불쌍하게 나오면서 밀어주다가 동태미오 커플에 방해꾼 정도로 만들려고 했는데 이게 왠걸?? 작가 지가 좋아하는 미오가 지은이땜에 욕먹네? 미오에 미쳐버린 작가라면 충분함. 미오 욕먹기 시작하고나서부터 지은이 홀대 시작됨
1556,직접 임신을 경험한 분들이 논리적으로 웹툰의 문제점을 지적해주고있는데도 입터네 ㅋㅋㅋ 
1557,10주면 배초음파 맞습니다만.....
1558,맨날 똑같아 지은이 나올때만 재밌고 동태새끼는 맨날 칼만 소리지르면서 휘두르고 뭐하잖거임
1559,블레이드노트 재연재하면 조켓다..
1560,그냥 딘이 제천대성 환생이라 하자
1561,미오 그만죽여 작가 멋진분아
1562,"미래에서 왔습니다. 이후 스토리 진행? 하하하하
하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하"
1563,역시 자발적 아싸는 어쩔 수 없다
1564,작가님 나중에 후기 쓰실 때 꼭 캐릭터 초기 설정 올려주세요.. 거기에 민호 사이코패스 설정 있었나 보게요...
1565,저는 일주일동안 열심히 콘티(?) 짜신걸로 웹툰열심히 그려서 연재해주시는 분들에게 습관적으로라도 별점을 10점 주거든요? 그리고 이것도 버릇처럼 10점을 주긴했어요 주긴했는데... 이미 준걸 무를수도 없긴하지만 이렇게 별점주기 아까운 웹툰은 제가 보고있는웹툰중에서 엄청 오랜만인것 같아요 초반에는 나름좋았다고 생각합니다 판타지랑 섞인 현대일상물 같은걸 좋아하기도 하고  분량도 어느정도 있었고 스토리진행도 진부하긴해도 제기준에서는 나름 빠르다고 느꼈거든요 그런데 지금은 지루해도 보던거니까 본다 라는 느낌밖에 들지않아요 도데체 길어봤자 2편에 나눠서에 끝낼수있는 분량을  몇편에 걸쳐서 내는 이유가 뭐죠? 분량 쪼개기라고 하기에는 좀 너무하다고 생각합니다 웹툰스토리가 진행되는것보다 싸움 효과음으로만 웹툰을 채우신다는 느낌을 많이받아요 효과음 장면을 조금 줄이고 스토리 진행쪽에 더 힘쓰시는게 더 좋을것 같습니다. 더 쓰고싶은데 500자가 넘을것같아서 이만 끝내겠습니다.500자채우는건 처음인듯
1566,야 진짜 내가 작가님 와 ;; 저 전 편 보고 기절할 뻔 했는데 이번 편 보고 혼절했어요 ;; 와 ;;
1567,베도떄 부터 봤는데 형은 베도가 어울려요
1568,"베댓에 친구남친or썸남 뺏은 줄 알겠다는 댓글 인정..
뺏었다면 그건 오수가 뺏은거라고 봐야지"
1569,"니가 그려봐라, 재미없으면 보지마라 라고 말하는 애들 특징 : 개돼지 마인드임"
1570,지은누나 동태 뒤로가서 칼빵 놔주면 나 죽어ㅓㅓㅓㅓㅓㅓ
1571,아 배고프다
1572,초반부 부터 토나오네요. 대충 다 봤는데 확실한건 요즘 로맨스가 대세라 보니 저격한 양산형 만화네요.
1573,"35컷.평균 웹툰의 절반쯤 되는 분량입니다.근데 우려먹기식 대사, 굳에 넣은 불필요 컷들, 대사가 없는 컷들을 좀 줄여주셨음 합니다. 스토리 전개 속도좀 높여주세요"
1574,와 ネイバー 나빴네
1575,"작가의 스토리전개 방식

오늘밥먹었다
김치랑 밥먹었다
김이랑 밥도 싸먹었다
특이하게도 국은 없었다
왜냐하면 국을 끓이기 위해선.........(국끓이는법나열)

이런식임
당연 지루하고 할려는 말이 먼지도 모르겠고
웹툰으 장점은 다 버리고 있고
이 내용 이런 전개방식으로 하면 소설도 잼없음

에세이를 쓰라는게 아니잖아요?!
차라리 휴재하고 옆동네 호랑이형님만봐도
1부가 실재로 시간 1주도 안됨 근데 박진감넘치고
1분의 기승전결과 1화마다 기승전결이 다있음

근데 이건? 기기기기기 뿐임

스토리작가님 볼수있게 올려주세요"
1576,인물들 얼굴 표정 개그씬으로 넘어가거나 하나같이 작붕인데... 표정 연습이나 비례 연습 좀더 하셔야할듯
1577,"베댓가고싶다
"
1578,"다이스는 결국 경쟁을 야기하고 살아남야하는 룰인데
그속에서 많은이들이 변절해왔음
결국 1등이 되어야만 본인의 욕망을 실현시킬수 있으니
하지만 뚝심있게 소신을 지켜나가는 은주야 말로
진국이고 퀸인듯...
애초에 은주위주의 전개가 많았어야
교훈과 공감대를 같이잡았을텐데
개찐따를 주인공으로 세웠으니
이젠 아무도 동태를 공감하지못함"
1579,지금이 이 만화중에서 제일 이상한 장면
1580,오늘결론: 용왕만남
1581,이걸 산소호흡기를 달아버리네 ㅋㅋㅋㅋㅋㅋ
1582,"정주행하다가 주인공 이름이자 제목 덴마 뜻을 모르시는 분들이 많아서 쓰는건데 덴마가 남장여자란 뜻이에요!
처음부터 주인공 이름과 제목에 덴마 안에 여자가 들어있다는 떡밥을 뿌려 놓으셨네요.
아마 제목도 덴마인걸보니 핵심 떡밥인것같아요.
여장남자라고 잘못써서 지웠다가 다시 올려요. 죄송해용!"
1583,"항상 보면 은주나 지은이처럼 오해받든말든 마이웨이지만 속은 착한 애들이 꼭 동태미오커플처럼 착한 척 하는 애들한테 약해서 답답하다.. 말로만 착한 애들 말빨에 넘어가서는 죄책감 갖고 갈등하는 거 볼 때마다 동태미오커플한테 화가 난다..
미오가 은주한테 넌 완벽하니까 다이스 소멸시키려한다할때도 은주는 다이스로 다치는 사람때문에 소멸 시키려한건데 항변 안하고 걍 묵묵히 들어주기만함. 
지은이도 미오가 동태랑 동거했다는 오해로 목숨 위협할때 오해 풀려고 안하고 걍 마이웨이로 오히려 미오 도와줬지 보면  미오가 진짜 악질이네"
1584,"쿠키 10개 구운 흑우로서 대신 올려 드립니다, 앞으로의 스토리는 더 Gㄹ 나니 여러분은 쿠키 쓰지 마세요^^!"
1585,럭키짱에서 왔습니다 여기도 작업들어가겠습니다
1586,똥꼬에 주시 꽂힐만큼 디지게 맞았는데 금세 차에 타있네ㅋㅋ
1587,아무리 별점테러를 하고 악플을 써봐라 눈하나 꿈쩍하나ㅋ 그거 우리가 다해봤는데 소용없더라ㅋㅋㅋ 괜히 덴경댄줄 아나
1588,이 만화는 아마 카카오ㅍ이지 에서 연재 했어도 망했을듯
1589,나오자마자 쿠키 끝까지 구운 사람?
1590,"아 아니면 애들별로 다 하나씩있어서 나중에 합체하는거냐
딘이 용포 단모리가 정신 중모리가 힘? 이런식으로 해서 삼신기 모으면 진모리 나오는거?"
1591,메이플스토리 200때 사냥 어디서 해요?
1592,저 계획을 엿듣고 있는 지은이는 어떤 결정을 내릴지 궁금하네요. 유일한 공격수단인 식칼이 없는 상황인데 은주에게 당한 동태를 노릴지 아니면 베댓내용대로 빈털터리 동태를 도울지요.
1593,더 게이머가 이제는 퀵처럼 자유게시판이 되버린 현장입니다 여러분...
1594,"제목이 패러렐 즉 평행입니다! 미오는 살아남지 못할 것이고 이건 지은일 히로인으로 만드려는 의도! 은주는 무영에게서 떨어진 태빈이와 행복하게 살았답니다
(사실 위에 배댓보고 베낌 헷)"
1595,".　　　　　／＞　　フ　 ┏━━━━━━┓
　　　　　| 　_　 _ l　　│　맛있겠다옹   │
　 　　　／` ミ＿xノ　O └━━━━━━┘
　　 　 /　　　 　 |  o    　
　　　 /　 ヽ　　 ﾉ
　 　 │　　|　|　|
　／￣|　　 |　|　|
　| (￣ヽ＿_ヽ_)__)
　＼二つ"
1596,이것도 웹툰이랍시고 보고 있는 내 인생이 레전드다..
1597,"어케 이만화는 여캐들이랑 탐험하는것보다
선일이랑 더 게이 머 찍는게 재밌냐"
1598,ㅋㅋㅋㅋㅋㅋ 럭키게이머 탄생 ☆축☆
1599,나만 재밌어?이게 베댓이 될 수밖에 없는 게 어차피 나중에는 욕하던 사람들이 하나둘씩 다 떠나고 아예안들어오거든.즉 여기는 재밌다고 생각하는 사람들만 남는거지
