,low_comment_False
2384,"그리고 스톡홀롬신드롬이랑은 다른거임 
그건 범죄자랑 며칠 아니 몇시간이라도 있으면서 공포의 상황에서 어느정도 범죄자에게 공감을 한 상태고.. 이건 그냥 만난지 10초밖에 안된데다 애초에 좀비에 대한 불신이 가득한 상태서 저런다는건 정말로 개연성의 ㄱ도 없는것임."
2385,누군지가 중요해?
2386,"염라대왕도 지겨워서 미오 돌아가라고 할듯 몇번째 죽는거냐 대체;; 
사상 최다의 지옥 다회차 방문자"
2387,"남주가 솔직히 무슨 잘못을 했음, 계속 만나려고 시도했는데 10개월 동안 묵묵부답이면 애인 쪽은 뭐라고 생각하겠음? 당최 행방을 알 수도 없고 나라도 무통보로 이별했다는 생각밖에 안 들고 있는 정 없는 정 다 떨어질 것 같은데. 심지어 저거 남주 말 끝까지 들은 것도 아니자너 "
2388,베댓 12시간이 아니라 36시간임
2389,애두라 실망할건데왜계속결제하는거야?
2390,근데 여자 진짜 범죄하면서 꼴보기 싫네
2391,쿠키가 아까운게 아니라 1주일 기다린 기대감이 싹 사라짐
2392,십진회 대놓고 자살 선언
2393,"지가 10달동안 짐수타놓고선 
딴여자가 팔짱끼니까 바로 충격먹네
이렇게 지밖에 모를줄이야
남자얘가 여자보는눈이 없네"
2394,"테이가 지금 다이크만나면 소름 돋지않을까 
구질구질하게 전여친 못잊고 뒤통수 소켓에 인공지능 넣고선 자기 이름 붙여놨는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ 어후 소름"
2395,신윤환이 여캐라는 증거 : 이 작가는 여캐에게만 쌍꺼풀을 그림. 남캐는 그런거 없음
2396,아니 진짜 어쩌라고
2397,아......이런 만화가 왜 네이버웹툰에.......
2398,동태야 너 은주랑 지은이한테 그러는거 아니다 진짜
2399,재열이 신발하고 지갑하고 핸드폰 언제 찾아요?
2400,진짜 말같지도 않은 전개여 ..
2401,엄마 오늘 쿠키 상한거 같어..
2402,"ㅋㅋㅋㅋㅋㅋ그 약물로 조작된 단테킹의 육체를 흡수한게 R아님?? ㅋㅋㅋㅋㅋㅋ똑같은 육체먹었는데 뜬금없이 R은 전성기육체에 최근접 이 ㅈㄹ ㅋㅋ 아 그래 ㅋㅋㅋ오리지널 탐과 킹의 오리지널 유전자로 인해 어찌저찌 커버한다쳐 ㅋㅋ

근데 그럼 그 전성기 육체에 가까운 힘 가지고 사탄 이기고 힘 다빠진 진모리한테는 왜 쳐맞은거임????ㅋㅋ 

이건 빼박 설붕이지 ㅋㅋR이 육체를 유미라한테 넘겨준 시점은 진모리 마지막 피날레공격 Q가 막아서고 상만덕 통수맞던 그시점이었음 ㅋㅋ

아 그리고 리틀대위 이제껏 엄마라 부르다 갑자기 왜 누나임?? ㅋㅋ"
2403,히어로물의 클리셰를 비틀어서 제대로 웃기게 풍자하는 명작이 되느냐 그냥 김치워리어 소재로 어그로 끌고 개그랍시고 시덥잖은 장면만 나오는 웹툰이 되느냐는 지켜보면 알겠지
2404,더 게이머는 초딩들이 많아서 문제구나
2405,네이버 돈 맛이 쎄긴 쎄나보네. 어떻게든 스토리 질질 끌면서 장기연재하려는 수작이 뻔히 보인다. 옆동네 귀족만화가 특히 심하던데 그 꼴만 나지말아라.
2406,"자 해석해보자
저 남자와 여자는 우기명한테만 보이는 허구였던것이야
그 사실로 
1. 우기명 시선에서는 저 남자 여자가 다리를 붙잡는것으로 보였으나 두치 시선에서는 안보였다.
2. 남자 여자 신발이 있었는데 없어졌다. 우기명이 신발이? 하며 놀랐지! 있었는데 다시보니 없으니까.
3. SNS에 남자 여자가 있다가 다음컷에서 사라지고 우기명이 각성하는 장면이 나온다. 
결론 저 남자 여자는 우기명을 각성하게 해주는 무엇인가지.
근데 이렇게 적어도 나도 모르겠다...
원호 어서 텨나온거냐ㅡㅡ"
2407,대웅이 말잘하다 왜 갑자기 웅웅거리노
2408,너무 뻔하다 뻔해 둘이 사귀겠징~~ㅎㅎ
2409,도배하지마 뇌절하니까 노잼된다
2410,"자네... 또 지각했다며
말한대로 직접 상대해 보니 독자놈들 공지도 필요없어. 충분히 할만해. 별거 아니더라고.
크흐흐... 별 거 아닌 건 아니지. 별점 테러의 압박을 견뎌낸 양형이 대단한 거야."
2411,아니 이건 좀 너무한거 아니냐 그냥 시작하자마자 5명이 칼 들고 상대 5명 찌르면 끝나는거 아님? 무규칙도 적당히 해야지 내용 너무 산으로 가는거 아닌가 싶네 진짜
2412,지겹다 지겨워 노블레스식 전개에 고양이 하나더나온거 밖에 없네
2413,장례식편에서 기획사대표가 기안그룹장남이라고 놀라는 장면있는데. 왜여기서는 못알아보고 깔보는거냐 기안이 기억을 못하는거냐
2414,제가 짜본 스토리입니다. 반장이 혼자 있을 때 반장이 마력공장 쪽한테 납치를 당합니다. 이를 안 한지원이 권시현과 학살의 마녀와 드루이드를 데리고 마력공장으로 쳐들어간 뒤 반장을 구해내지만 반장은 이미 마력이 얼마 남지 않았고 트라우마가 생겨 한지원에게 다시 원래 삶으로 다시 돌아가고 싶다고 말합니다. 그래서 한지원이 어비스 옥션에서 기억삭제 관련 물품을 산뒤 반장의 기억을 지우고 (꼴보기 싫은) 반장은 어비스에 대한 기억을 잃고 다시 원래 삶으로 돌아갑니다.
2415,내 생각엔 이양반 휴재 하는 동안 연재분량 체운거 아님?
2416,님들 솔직히 이거 욕하려고 보는거죠..? 나도그래...
2417,미오 살리겠다고 은인인 지은이를 진심으로 죽이려고 했네. ㅋㅋㅋ 동태 갈때까지 갔다....
2418,"어줍잖은 오수 선녀화가 스토리 다 망쳤다
오수가 밝은 애였다가 낮은 자존감과 스트레스로 성격이 바뀔 수는 있지 ㅇㅇ 그렇게 힘든 시기 겪다 이겨내고 성장하는 스토리를 그리고 싶어 했던 것 같고 그게 이상적인 스토리라인이기도 함 근데 어느순간부터 어줍잖게 굴면서 여기저기 피해주고 주변에서는 천사 프레임 씌우고 이제는 피해자마냥 그려놓으니 어느장단에 따라가야 할지 모르겠고 그냥 왜 저러나 싶음"
2419,얼굴하나 안보여줬다고 이렇게 까지하는 독자라니.... 작가님 힘내세요
2420,제발 동태 전성기떄 모습은 절대 안돌아왔으면 좋겠다... 이 쓰레기가 외모만 돌아왔다고 다시 예전처럼 독자들의 호응을 받는 꼴을 도저히 못보겠음.
2421,"아니 생각해보세요.... 진짜 별점 7.1이 되면 조석님이 "" 아 ㅅㅂ ㅅㅋ들이 나 엿멕일라고 별점 ㅈㄴ 깎았네"" 이럴까요 ""아 별점 엄청 테러당했네 재미 없었나보네.. 에휴..."" 이럴까요... 아니면 ""이인간들 진짜 7.1 만들어놨네 내가 미쳐 ㅋㅋㅋ "" 할까요?"
2422,미래에서 왔습니다. 선풍기 틀어놓고 자도 안죽어요.
2423,"5화: 88컷
이번화: 48컷

이정도면 초심잃은거랑 다름없어요. 컷 하나하니 다 세어봤는데 저렇게 나왔습니다. 작가님 휴식하시면서 많이그려서 한꺼번에 많이올리시는것도 나쁘진 않아요. 적어도 70컷은 넘겨야져.."
2424,"오늘자는 확실히 나아졌음ㅡ, 지각도 조금 당겨지고 있는데다 분량도 꽤 많았는데 문제는 주인공의 부재가 너무 길다는거 ㅜ 거의 6주째 안나오고 무슨 동태인지 뭔지 싸패의 비중이 너무 큼.. 주인공 등장하니까 바로 반응 좋아지는데 작가님 좀 피드백좀요 ㅠㅠ"
2425,"'쿠베라'의 경우 신의탑과 비슷하게 인물들을 부각시키고 세계관 설명은 최소화하고 보여주기 방식을 선택한다. 또한 자세한 세계관에 관심있는 팬들을 위해 웹소설도 블로그에 기재해뒀고, 설정들에 대해서도 역시 블로그에 수록해뒀다. '나이트런'의 경우는 좀 특이한 케이스인데 아예 세계관 구상에 초점을 두어 글자가 굉장히 많은, 그리고 분량도 매우 많은 방식을 채택하였다. 한글자 한글자 다 보기 힘들만큼의 텍스트를 집어넣어 세계관을 만드는데 초점을 맞추다 보니 호불호가 극단적으로 갈리고 매니아 만화가 되어 버렸다. 현재 '더 게이머'는 이런 매니아층 만화도 아닌, 그렇다고 '신의탑', '쿠베라' 같은 개성있는 인물들을 살린 만화도 아니고 '덴마'같은 감동도 없는 매우 어중간한 만화다. 작가는 다른 방대한 세계관의 만화들이 지루함을 줄이면서 세계관을 보여주던 방식들을 보면서 배워야한다고 생각한다. 물론 '싸우자 귀신아'와 같이 작가가 감당하지 못해 연재종료하는 안타까운 경우도 있었지만..."
2426,만화그리는 놈이...평생 외모로 손해본적없는 놈인데............. 못생기고 뚱뚱한놈 = 찐따로 보는건 어쩔수없지 뭐
2427,그리고 보통 이러면 친척들 몰고 오는게 정상은 아닌거 같은데
2428,탈모오겠누
2429,"지금 상황을 어렴풋이 눈치채고있는 오수의 ""조금만 참아줘 정말 내가 어떻게든 해볼게!"" 이 말의 의미를 서술하시오 (5점)"
2430,"오수 지가 무슨 지훈이가 좋아해주니 공주마냥 되는줄아나봐ㅋㅋㅋ왜 니가 충격받음?
민호랑 보배도 안돼고 지훈보배도 안되냐?
전형적인 놀부네
저런걸 선녀 마냥 우쭈쭈"
2431,재미있당
2432,요새 갓오하는 전편내용을 늘리게 그리는게 끝임..결국 제자리 걸음 그리고 다음화로 갈 짤하나투척 그게 이번화는 권능이고 전에는 큐의 셔플...큐의셔플도 늘어지게 그리면서 양늘리고...진짜 ㄹㅇ느리다 전개가...돈벌고싶은건 아는데 그냥 빨리끝내고 새로운 작품하면 되지않냐 작가야??
2433,"나한테 하는 말 같다. 취준생 n포세대 그게 나일줄이야
지로야 너랑 나랑 다른게 뭐냐. 넌 하이퍼이기 라도 하지"
2434,불여시? 말다하셨어요??
2435,근데 고산 저 성격파탄자가 어떻게 하즈한테 쪼인트 까이면서 엘가 매니저 일 했던거지? 지 아버지 죽인 빨간머리 집사도 종단에 거짓기밀 흘려야한다고 살려뒀었으면서 지 가문 노렸다고 사촌 바로 죽여버리는 전개는 참;;;
2436,작가님 독자들 댓글은 그냥 단순 악플로 여겨버리시고 전혀 고려안하시나봐요.. 몇 주도 아니고 몇 달째 전개가 제자리걸음에다가 몇 인물들은 본래 매력 다 잃고 전부 성격이상자가 되어가고 있어요...
2437,물타기 오지게하다가 발뺌하는건 우리나라가 제일잘할듯...
2438,"오수의 행동이 답답하고 빡치고 이해할 수 없는 행동인 이유는 거식증도 염연히  정신질환이기 때문. 정신이 아픈 사람들한테 정상적으로 생각하고 행동할 것을 기대할 수 없고, 정신질환자 본인들도 보통 자기가 지금 뭔가 망가졌다는걸 알기 때문에 자기혐오감 들고 우울증이 흔히 같이 동반됨. 정신질환이 있는 상태에서 그렇게 행동하거나 생각하지 말라고 말하는 거는 노력으로 해결해라 라고 말하는 것과 별 다름 없기 때문에 주변인으로서 해야 할 행동은 무조건 그 비이성적인 행동에 맞춰주거나, 극혐하고 손절하는(물론 그사람이 나까지  갉아먹어 버릴 정도로 날 지치게 한다면 어쩔 수 없지만..) 게 아니라 최대한 빨리 전문가한테 치료받을 수 있게 설득하고 잘 주시해서 치료를 그만두지 않게 격려를해줘야함. 주변에 이런 친구가 있어서 남일같지 않아서 정신질환자를 무조건적인 혐오보다 연민으로 대해주는 건 어떨까 하다가 글이 길어졌네요"
2439,아니 어이가 없네. 자유민주주의를 말하면서 표현의 자유는 무시하는게 말이 되나ㅋ기
2440,'올해안에 못 끝낸다'에 한 표!!
2441,다들 속지마라 이제 고라가 가면벗으면서 나야 감찰국 행동대장 고라! 한다 ㅋㅋㅋㅋㅋ 저거 가츠 아니다 ㅋㅋㅋㅋㅋ
2442,"더게이머가 욕을 먹고 있는 이유가뭐냐면
모든 만화/애니는 큰 흐름을 타고 스토리가 이어져있음. 이게 무슨 소리냐면 스포츠만화에서도 중요한 대회가 끝나고 여름 훈련겸 다같이 바닷가로 갔다.. 이런 내용에서도 떡밥이 있고 복선이 있고 팀원간의 갈등이 생기면서 다음 메인 스토리에 영향을 미치게됨.

지금 미궁던전을 통해서 작가님이 뭘 전달할려고 하는지는 아직 기다려야알겠지만 권시연은 메인 캐릭터라도 해도 과언이 아닌데 전일에 해결된 반장이 자꾸 나와서 흐름 끊기고 갑자기 어비스로 들어간다며 설치고 내용은 또 전개없이 질질 너무 끔.

제발 한 화에 작은 요소라도 복선이라던가 앞으로의 사건에 단서라도 나왔으몬 좋겠어요 작가님"
2443,진짜 마사토끼는 가만히 있다 작품 전부 폭격 얻어맞네 미친 ㅋㅋㅋㅋ
2444,"☆무시래기고등어조림 만들기 재료☆
다시마 4 고등어 600g 무 400g 손질한 시래기 200g 양파 1.5. 청양고추 3 홍고추 2 물 4컵 간장 2 참기름 2 양념장:진간장 반컵 , 고추가루 3 깨소금 3 고추장 5 맛술 5 다지 마늘 5 설탕 2 생강즙 1  
☆무시래기고등어조림 만드는 방법☆ 다시마 4장을 한입 크기로 썰어 냄비에 깔고, 고등어& 무를 넣는다 양념장을 만들고 반 정도만 넣는다 시래기를 남은 양념장에 넣고 버무린다 양파 200g, 청양고추 3, 홍고추 2, 물 4컵을 넣고 뚜껑을 닫고 센 불에서 끓이고 끓어오르면 뚜껑 열고 40분간 더 끓인다 마지막 간장 2, 참기름 2 ,넣고 마무리 한다 "
2445,아 재밌게 보고 있었는데 무슨 갑자기 만화에 정치색 나오냐 하필 김어준이네 다음화에는 유시민이냐
2446,분량 겁나 짧네 내용도 딱히 반전 없고
2447,ㄹㅇ군대가기 전에 폰 못찾누ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2448,업소녀어쩌고 영상도 결국 몰카아니냐.. 이웹툰이야말로 ㄹㅇ 혼돈 그자체
2449,내여친이 해리처럼 말했으믄 따귀 날라간다 오빠들은 다 똑같아
2450,"아무렇지 않게 사람 치우라고 시키는거 보면
가이린도 귀족들이랑 가치관이 비슷해진듯
예전에 자기때문에 늑대굴 전멸했다고 죄책감 느끼던 가이린은 이제 없어"
2451,"유나 전학갈거같은데 
분위기가 대두가 사귀면 처음으로 전학안가는 그림인데
대두가 안사귀고 아영택해서 전학가고 대두랑 다시는 안보는 시나리오 같은데 진짜 개 열받네 대두 죽여버린다 좀있으면 크리스마스인데 얘때문에 더 연애고자병 걸릴거같다 하"
2452,질질질 끄네
2453,구슬 찾는 거였어?
2454,사정이 있어서 늦는거면 설명을 해주던가 휴재를 하던가 애초에 자기 능력 밖의 일을 수락하지 말았어야지 그걸 왜 독자가 몇달째 아니 몇 작품째 꾸준히 이해해줘야됔ㅋㅋㅋㅋ킬더킹 블로그 연재 때부터 팬이었고 정식연재 정말 기대했는데 매번 늦고 별점 조회수 떨어지고 순위 하위권 붙박이인데 팬으로써 당연히 속상하죠 진짜 비판이랑 비난 구분 못하시네
2455,결국 또 '최강의 백경대' 행이냐? 이걸로 얼마나 더 우려먹으려고? 이쯤되면 클리셰 아니냐? ㅋㅋㅋ
2456,"만약 야와가 탈출에 성공한다면..아니,이미 실버퀵 폭동사태가 다 보여진상황에 가정이라고도 할수 없겠지만... 현재 실버퀵 밖에 하데스가 있다는것도 주목할 일인듯. 야와의 가장 내부에 존재하는 자의식이 본체를 만나면 어떤 현상이 일어날런지..."
2457,부모가 저렇게 키웠는데 어떻게 대담하게 살 수 있겠어....
2458,베댓 그건 작동중지 키워드고 작동 시작은 ‘판타 레이’가 맞음
2459,주시은ㅈㄴ암걸리네 현남친두고 전남친은 나없이는 안되겠다니ㅋㅋㅋㅋ 김대리편 ㅈㄴ역겹다
2460,은주도 미오 외모 돌아왔을대 얼탔는데 자연스럽게 미오 대해주는 지은누나 인성 와우. 몰카사건만 없었다면 은주 이상의 천사였을까요.. 은인을 칼들고 위협하는 쟤는 노답
2461,"다이크는 진짜 봐도봐도 이해안가네 ㅋㅋ 엘은 테이가 그렇게 끌어내리려 했던 인민들 노예로 착취하는놈이고, 제일의 친구라던 가이린한테 그렇게 상처를 준 사람이고, 랜돌프 사주해서 자기 팔도 하나 짤라간놈인데 군말없이 다시 주인으로 삼더니 지 부탁대로 실버퀵 기사들 살려주고 비록 실험체로 썼다지만 짤린 팔도 달아준게 고산네 회사인데 한번 벌레취급받고 죽을 뻔 했다고 저렇게 증오심으로 꽉 차서는 ㅋㅋ 그냥 신변이랑 돈때문에 어쩔 수 없이 엘 밑에 있다하든가 하지"
2462,사보인줄;;;;;;;;;;;;
2463,아 ㅅㅂ 랜쳇 스포당했네
2464,중간에 지은이가 숨어서 지켜보는거 너무 힘들어서 동탷나테 도움을 요청하기 위해서일까 신경조차 안써주는거 너무 서운해서 이제라도 pk하려는걸까
2465,아니 연재를 이렇게 하실거면 왤케 재밌게 만드셨어요 차라리재미없으면 그러려니하고말지ㅡㅡ
2466,"아 진짜 제발..반장ㄴ이 날 로그인하게 만들었어
반장이 뭔데 버스도아니고 ktx타서 순식간에 레벨 30?넘어버리고 더게이머 능력도 쓰고 좀만 더 있으면 시연이보다 세져서 보스로 등장할듯ㅋ솔직히 인벤토리쓸때 반장이 그걸 왜쓰지 싶었는데 베댓에 나랑 같은생각이 있어서 다행.."
2467,ㅋ 걍 서브고 뭐고 닥치고 남주는 이찬이라고 나오는거 같아서 그게 더 싫다 이번화 이찬보고 정내미 떨어지는건 나뿐? ㅋ
2468,254화:  장례식(01)
2469,"졸작이니 최악이니 진짜 200원 갑질러들 ㅋㅋㅋㅋㅋ
네이버 미리보기 댓글이랑 별점기능 없애라
불우이웃 돕기는 10원도 안해본 새1끼들이
지들 뜻대로 스토리 안 흘러간다고 별 지1랄을 다 떠네
영화보러 가서 지 원하는 결말 안나오면 깽판 칠 
히키코모리들 ㅋㅋㅋㅋㅋㅋ
"
2470,영웅이 미쳤네...ㄷㄷ턱뼈가 으스러졌는데 반격한다고?
2471,덴마가 일찍연재를하는건지 지각을하는건지 구분이안되네
2472,"진짜 댓글,미리보기, 다 없애고 별점만 남겨줬으면 좋겠다 ㅡㅡ 별점만을 통해 네이버웹툰 관계자 측과 상의하여 고쳐가는것이 맞는것 같다. 물론 네이버웹툰 관계자도 바뀌어야 한다.
갈수록 너무해진다 댓글에 의해서 그 작품만의 특유의 개성을 잃어간다는게 볼때마다 너무 열받는다. 소녀더와일즈? 답답해도 조금 더 기다리고 봤으면 완벽한 결말로 독자들을 맞이했을지도 모른다.하지만 본인들이 원하는 대로만 끌고가려고하는 댓글들이 넘쳐났고 그 결과 소녀더와일즈는 결말과 이어지는 스토리조차 제대로 보지못한채 우리 곁을 떠나갔다. 근데 현재는 미리보기를 하고와서는 더더욱 본인들이 원하는 스토리로 만들어가려하는 댓글들이 자주 보인다. 나는 작가의 개성이 담긴 작품을 보고싶은것이지. 독자들의 행패로 이상해져가는 작품을 보고싶지않다.

본인들의 생각을 표현하고싶은것은 알겠으나. 이건 너무 심한것이 아닐까 싶다."
2473,아니 근데 암흑왕 여자였냐?;;몸은 아람이때문에 그렇아쳐도 말투는 왜저래...성정체성을 찾은건가ㅋㅋㅋㅋ
2474,근데 팍스중공업은 하는게 뭐임? 누멘코팅으로 퀑시장 변할거라는  떡밥만 실컷 던지다가 고산이랑 대머리만 장착하고 끝. 강화퀑 실험한거 고산한테 알려준다더니 백경대 뚜드려 맞고 지로가 구해주기 전까지 안알려줌. 명색이 고산가 주력기업에 돈도 존나게 쏟아붓는데도 하는거라고는 1도 없음. 거의 평의회급으로 무능력하네
2475,"1.남주는 폭력적이고 막무가내이며 상황설명, 의사소통 거부하고 오해할 수 있는 상황임에도 얼버무리는 점을 보임
2.여주는 충분히 남주에게서 공포감을 느꼈지 설레지 않았으며 일진이라는 사실만으로도 혐오함
3.여기서 어떤 방식으로 스토리 전개될줄 모름.

..... .??????
이게 왜 일진  미화물이지(?~?)"
2476,나만 이태성 살빠진거 이진성인줄 알았냐?
2477,뭐야 동원이좋아한다면서 거절을안해;;
2478,"(다음화내용)
용포: 넌 날 다시 가질 자격이 없어
진모리:(...)
용포: 넌 너의 할아버지를 지키지도 못했고, 심지어 너 자신조차 지키지 않으려했지 그런 너에게 힘을 빌려줄 수 없어
진모리: 맞아. 내가 약했기에 친구도 할아버지도 심지어 내 목숨도,
내 소중한 것들을 지키지 못했어. 하지만 지금은 달라.
나에게 그때처럼 지켜야될 가족과 다시 찾아야될 친구들이 생겼어.
그러기엔 너의 힘이 필요해. 용포.
용포: (딘을 바라보며) 이 소년에게 미안한 일이지만, 전 과는 달라진것 같군. 하지만 같은 일이 발생하면 그땐 너의 목숨을 앗아갈 것이다

그러면서 용포 되찾음"
2479,"기:기다려도
안:안나온데"
2480,"좀 이야기가 이상하네요 작가님 
예전에 연재하던 이야기는
아 모르겠고 요번건 진짜 아닌거 같아요 "
2481,"작가님 진짜 그냥 참고 보고 있었는데요 계속 별점이 떨어지면 왜 그런지부터 생각을 하셔야 될거 같습니다. 우선 이 만화의 주인공은 한지한인데, 한지한의 성장과정이 그려지지 않고 계속해서 한지한이 반장을 성장 시키는 내용으로 전개가 돼서 재미가 반감 됩니다. 또한, 조연인 반장이 계속해서 등장하면서 한지한의 발목을 잡으면서 스토리 전개가 되지 않고 한지한의 전투신과 같은 내용들도 덜 다뤄집니다. 우리는 주인공을 보고 싶은것이지 조연을 보고 싶은게 아닙니다. 쉽게 말하면 반장이 계속 걸리적 거립니다. 스토리 전개를 위해서도 주인공을 돕지는 못할 망정 방해만 하고 있는 반장은 빨리 치워버리고 스토리 전개를 확실히 해 나가야 될 거 같습니다."
2482,댓글 물타기 오지네. 왜 이렇게 줏대없고 생각없이 굴어요?
2483,"ㅋㅋㅋㅋ 아니 난 그냥 아무생각없이 잘보던 사람인데
베댓이 왜까냐고 선동하니까 예전에 작가까던 사람들이 쉴드치고있네ㅋㅋㅋ 대한민국 국민의식 지리네"
2484,진짜 주인공 장난감뺏긴 초딩새끼보다 생각하는 수준이 떨어지네
2485,무슨 은혜갚은 까치도 아니고 오수가 도움 한 번 베풀었다고 자기감정 다 갈아넣어서 충성하네 스토리 너무 억지스럽습니다
2486,"이미지가 왜 중요한데!

마닷 봐라 논란이후 통편집 당하고 매장 되는거 처럼
작가가 독자를 만족 못시키면 접어야지
김성모도 1점 수호대 생길정도로 까였는데ㅋ

마무리가 자연스러우면 몰라. 깔끔해야지
핵블레스를 핵피엔딩 만들어놨는데

힘들어서 급히 끝내면 아무도 뭐라 안해..
휴재 해도 욕안해..
몇 주째 질질 끄는거 버틴 독자들인데?

1점 수호대는 일어나라."
2487,니들끼리 모여서 크루하나 만들어라 ㄹㅇ ㅋㅋㅋ
2488,"<독자들 의견 총정리>
1.반장 퇴장
아마 이게 제일 절실한듯
2.노움 소환
3.로리 선생

갓성모형도 발언때메 이제 별점 잘나오던데.."
2489,우 윳 빗 깔 사 다 함!!!
2490,총쏘다가 끝나네.
2491,아 밤 붉은바리 의태 2단계든데
2492,가벼운 만화인데 제목이 외모지상주의라서 그런거잖아 그걸 다루는것처럼 하는 화도 있고.. 차라리 최강전설 강해효같이 가볍게 보는 만화답게 제목을 짓던가 했으면 모를까;
2493,지은이랑 이어지라니 지은이가 불쌍해요
2494,"한대위가 유미라보다 더신이랑 가까워야 하는거 아님??
"
2495,"이번 화: 태빈이와 싸움 도입1
다음 화: 태빈이와 싸움 도입2
그 다음 화: 태빈이와 싸움 도입3
그 다음 화: 태빈이와 싸움 본격화1
그 다음 화: 태빈이와 싸움 본격화2

..."
2496,아그네스 옆에 있는 사람들은 진짜 다 죽네 괜히 하아켄이 피한게 아니네
2497,배댓 상태 왜이래?;;;
2498,가정용 3D 프린터 이미 보급되고 있음. 필요가 없으니 안 사는거지.
2499,"타임 리와인드 무제한, 다이스 소량인데 타임포즈, 텔레포트에 계속 소모중, 리와인드를 썼는데 주변인물 기억 못함, 리와인드 시전자는 영향을 안받는데 동태의 시간도 돌아간점 => 이 수많은 설정오류는 오류가 아니다 작가가 그냥 진행시킬 방법이 안 떠올라서 설정 까먹은척하고 막나가는거"
2500,"그만 뭐라하세요...
작가님도 생각이 있겠죠














믄 개뿔 이미 대위가 무봉이을 못조지고 있던거 부터 벨붕인데 걍 밸런스 없이 봅시다"
2501,금액은 장기값인가
2502,어떻게 된게 이 웹툰은 등장인물들 성격이 다 짜증나냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하.... 최애가 안생겨...
2503,"스토리작가님께선 독자들이 오수를 어떻게 생각하길 바라시는 건가요? 아무도 강요하지 않은 다이어트 걱정에 데이트라기도 뭐하지만 사람과 대화하는 자리에서 집중 못하는 모습하며, 자신이 밀어내고 잘라낸 지훈이가 다른 사람과 사귄다는 말에 눈에 띄게 당황하며 자신이 그 사실을 '먼저 알지 못했다' 라는 것에 놀라는 모습... 자신이 밀어냈으면 상대방의 다른 일을 알 권리도 포기하는 거 아닌가요? 아무리 한때 자신을 좋아하던 사람이라도요. 친구로서 궁금할수도 있다구요? 그치만 연애(가짜지만)하는 상대방이 본인의 짝과 데이트하다 마주친 상황에서 저 표정은 대체? 실제였으면 오수는 지금 지인들 사이에서 거의 지뢰급인데 왜 모르세요 오수한테 뭔 악감정이있으세요.."
2504,"진짜 초반에는 좋았는데
미오라는 캐릭없었으면
이지경까지는 안갔을듯
아니면 그 기차역에서 시간돌리는
능력이안되서 미오가 죽었으면
이지경안갔다에 한표"
2505,통일신라시대가 아닌 북쪽 발해까지 합하여 남북국시대라고 부릅니다.. 우리역사를 우리가 버리지맙시다 ㅜㅜ 수정부탁드려요
2506,"ㅋㅋㅋ ㄹㅇ 물타기인게, 전 화까지만 해도 노잼 . 핵노잼 . 별점테러 하는 이유가 있다 . 스토리 답답하다 . 이러고 있더니 이젠 나만 재밌나 ? 기대 된다 ㅋㅋ 이러는 거 ㄹㅇ 탈룰라 급인데 ? ㅋㅋㅋㅋ"
2507,칠지도로 널 칠지도몰라...
2508,이번화의 전개는 다른 때 같았으면 발암이었겠지만 저에게는 항암이었습니다.
2509,"지은 분명 다이스에서 가장 입체적인 캐릭터라 졸 기대했는데 미오 꼬봉짓이나 하는캐로 전략해버렷네 그 마저도 동태 구하러 갔다가 되려 동태가 구해주면 지은이란 캐는 뭔 의미가 있는거ㄷ 걍 큰사제처럼 1회용 캐릭으로 쓴건가 작가 스스로가 잘 만든 캐릭터를 버렸네 
획일적인 모습만 보여주던 미오나 은주에 반해 입체적으로 띄어주더니 갑자기 미오 꼬붕이행... 모티브가 우디르???"
2510,이젠 그냥 막 가네
2511,"개재미있다 ㄹㅇ 그림 뒤지게잘그리네 액션씬 이렇게 야물딱지게 그리는작가는 테러맨, 격기반이랑 여기밖에 없다."
2512,발락이 이델 아버지 맞긴 한데 그걸 아는 건 발락 포함해서 극소수입니다. 이델도 몰라요.
2513,작가님 작가의말에서 딴소리 하실때가 아닌거같은데요
2514,뭔가 네이버엔 순정순정한 웹툰 없이 개성잇고 세계관 탄탄ㄴ하고 넓고 그런 맛에 봤는데 이런 외모지상주의 웹툰으로 물드는건 반대입니다..
2515,"아니 구원이라니 ㅋㅋㅋㅋㅋㅋㅋ 구원 받는게아니고 독립을 해내는 거지 ㅋㅋㅋㅋㅋㅋ 우리나라 독립은 의병의 노력과 관계없이 누군가 '구원' 했다는건가 ㅋㅋ 아무리 사실이 아닌 이야기여도 우리나라 의병을 이렇게 모욕(?)하면 안되지 ㅋㅋㅋ  
거기다가 고증에도 맞지않는 배경과 무기들 ~~ 일제강점기때  독립군이 화승총을 썼냐 자료를 조사는 하시고 만화를 그리시는 건가요"
2516,"잘나가다 동태미오 하 ㅡㅡ; 외모가 문제가 아냐 이젠 쟤네가 다이스 썼을때 모습으로 나와도 하나도 안설레 작품 흐름만 툭툭 끊기고 참 ㅋㅋ 
예전에 독자들이 바라던 자극적인 모습 보여줘도 하나도 흥미 안생기고 분량만 차지해서 빡쳐"
