,high_comment_False
1630,아니 쟤 ㄹㅇ 노빠꾸인생이네 ㅋㅋㅋㅋㅋㅋ 어떻게 저걸 통째로 들고 튈생각을 하냐 ㅋㅋㅋㅋ그냥 본체만 갖고와도 돼 인마..
1631,자본주의+인간의 모럴이 없는 뱀의 콜라보랰ㅋㅋㅋㅋㅋㅋㅋㅋㅇㄴㅋㅋㅋㅋ작가님 드립력은 언제나 상상할 수 없다..ㅋㅋㅋㅋㅋㅋㅋㅋ
1632,정체 안밝히는건 그래도 테러리스트고 D급 시민들 잡아간거도 명목은 어글리후드이기도 하고 ... 또 엘사 본인 방식도 방해받거나 통제(?)당할거고 등등 나같애도 안밝힘 팀이라도 아는 사람이 많아지는건 좀 위험할듯
1633,아 미쳐 이번화 슬픈 포인트가 있는데 없는 것 같이 진행 돼 ㅋㅋㅋ
1634,ㅋㅋㅋㅋ 개웃기네
1635,무이둥절...?
1636,"진짜 무슨의민지 몰랏는데 19스토리에서 수위 낮춘거라는거 듣고 무슨장면인지 바로 이해햇음......하,,,,,,미췬......."
1637,자꾸 이번화 요약이라면서 이상하게 요약학버린 댓글 안올렸음 좋겠다 저렇게 줄이면 뭔들 못요약하겠어...
1638,니가 문제있지
1639,실제로 저러면 둘 다 죽으니까 따라하지마세요
1640,내가놀아줄까? 하는거 존나잘생겻어.. 진짜 바름이 귀여워하는듯하면서 스스로도 설레하는 저 표정ㅠㅠㅠㅠ 근데 또 던져놓고 반응바로보고 싫음말고.. 하고 주눅드는것도 개귀여워..ㅠㅠㅠㅠㅠㅠㅠ 나유연 바름이 진짜많이 좋아하는구나ㅠㅠ
1641,다정한게 좋다며........? 유호선 뭐야 진짜? 너무 훅 들어오네ㅠㅠㅠㅠㅠㅠ
1642,우암은 자신과 자신의 가족 같은 희생자가 생기지 않도록 산신령이 되어 자신의 영역을 돌보고 풍요롭게 했으나 그 풍요를 노리고 다른 사람들이 서로를 해치는 모습을 보게 되어 정신이 피폐해져 가는 거 같네요. 자신이 사람들을 위해 한 행동이 되려 사람들을 죽게 한 거나 다름 없다고 느꼈을 거라고 생각해 스스로를 자책하다가 나중에는 비슷한 걸 보더라도 별 느낌이 들지 않는 감정이 무뎌진 자신을 발견한게 아닐까 합니다
1643,저 집안 머리카락 유전자는 대체 어떻게 되먹은 거야...
1644,유정말 틀린거 1도없네 ㅉ
1645,아오 저시키는 지가 백배천배 못생겨가지고 인성도 터진놈이 어딜감히 우리우리를 상처받게해!!!!! 영광아 저거 죽빵날려줘
1646,알고보니 제임수는 그냥 수족냉증이었던거임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1647,"어기적에서 겜 끝났음,,,"
1648,"문제 말할일 거의 없는 ""이거 이렇게 문제있어요"" 얘기했을때 ""ok. 이때 수리기사 불러줄게""해주고 별말없이 진짜 고쳐준 우리 집주인사장님 존경합니다"
1649,하 계선우 그냥 계속 담이짝사랑하면서 옆에서도와주고빌빌거리는거보고싶다.....나 변태인가봐....ㅠ
1650,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ성은이 눈치 제로?
1651,유정하다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ베댓진짜웃기네
1652,"우리나라 아이돌은 뜰려고 애초에 방송에서 남친, 여친 이미지를 계속 파니까 문제임. 외국 연예계를 보면 연예인도 사람처럼 애인도 만나고 결혼도 하고 이혼도 하고 그러면서 정말 음악, 연기 하는사람 같은데 우리나라는 맨날 뜰려고 난 팬 밖에없어~ 난 남친(여친)~ 팬이랑 사귄다 하면서 이미지를 그리 만드니 욕을 먹지... 뭐 그래서 그냥 주는데로 받는 갑다...싶네"
1653,정말 미안했으면 사건 다음날와서 사과를해야지...한동안 잠수타놓고 유학가기전에 찜찜하니깐 사과하는거봐라...개뻔뻔;;;
1654,나만 탁무이 가슴 답답한데 병원 안가는거 불안함???
1655,남주연이 설이 뒷담화할 때 뭔가 엄청 한심하다는 듯?이 쳐다보는 정이표정 봐 표정 진짜 잘 나타내는 듯
1656,전부터 설이가 자신을 이해해줬음 했는데 막상 자길 닮아가는 걸 보면 무슨 기분일까
1657,카드 막혔어?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1658,연재때는 아 어떡해 유정선배 화났어;;이건데 지금은 어웈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ유정 질투해???ㅋㅋㅋㅋㅋ야 더해랔ㅋㅋㅋㅋ이렇게 됨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1659,작가님 비온다고 죽지 마세요
1660,결국은 목숨이정해져 돌아가실분인데 스스로목숨을끊으려고하는걸 알고 여지껏 착실하게 힘들게살아오신 할아버지가안타까워 요 사자팀을보낸거군요~~!
1661,베댓 박쥐님.... 문제의 베댓.... 일단 지금 전오수는 200화도 아닐뿐더러 베댓들은 전부 지금 화 올라온 시간대인 11시~12시 경인데 자기 혼자 새벽 2시 38분입니다. 거기다 2016년 1월 21일? 그당시 2016년 1월 20일에 전오수 새로운 화가 뜨긴했는데 21일도 아닐뿐더러 그때는 지금같은 쿠키 미리보기도 없었습니다. 베댓 박쥐님 대체.... 무섭다
1662,히아 고단수
1663,그럼 아이리는 누구 영혼인걸까... 뭔가 이것도 떡밥일 느낌
1664,그래 시x 이 기회에 인하한테나 쳐맞어라
1665,와중에 티시에네 아버지인지 뭔지 진짜 싫다... 당사자들끼리 결혼 안 하겠다고 협의를 했는데 자기 말 안 따를 거면 집을 나가라니.... 이게 대체 무슨 헛소리야
1666,"자기가 알려준 방법때문에
 자기가 질투하는거야? ? ? ㅠㅠ
바보같잖는가아??!!!

독자들 환장합니다ㅠ 어흑 너무 좋아ㅠㅠ"
1667,분량 실화냐
1668,"지금 오슬라 타이밍 너무 안좋아서 나오미가 의심하겠다...
이제 검성이와 아크메이지의 반응을 기다리면 되겠네요"
1669,솔직히 카리프나 멜리사나 둘 다 자기 신념 따라서 행동한 것 뿐인데.... 결국 최선의 선택지는 없었던 거잖아 ㅠ ㅠㅠㅠㅠ 워낙 뒷배경이 안 좋아서 그런가....
1670,랑또대뷔작부터 다봐왓는데 작가의말개그는 도저히이해못하겠다
1671,"어마니 말 틀린말 하나 없지만
결국 둘 다 불행해지는 결과만을 낳았네요
결국 자기인생을 살아야 행복해질 수 있을텐데
자식은 부모의 희생없이는 성장할 수 없고
부모는 자신이 희생하지 않으면 자식을 키울 수 없으니...
사실상 각자의 삶을 사는 것은 불가능한것이 문제죠
불완전하게나마 해결방법은 나라에서 부모의 희생을 줄여주는 것 뿐일텐데
어찌된게 반대로 되가는 느낌..."
1672,봉원이 전에는 서점했구나...뭔가 잘어울림
1673,쟤들이 중학생? 이래서 베댓도 중학생으로 봐놓고 발렸다고 말한 거 같은데
1674,내 주식은 늘 망하는 것으로 유명했지만 이번에는 망주식이 아니다 백한 너만 믿는다
1675,배뎃님 걱정마세요 우리 투니버스 친구들도 그정도는 안단 말이에요~
1676,춘배는 그냥도 잘생겼는데 젖으니까 더 섹시하네.
1677,홍구는 갈색에서 하얀색이 된건가요...?
1678,"음.. 기생오라비..?
저건 좀 심하게 기생오라비 같다고 생각하는 건 저뿐인가요ㅋㅋㅋ
저게 어딜 봐서 남...ㅈ..아..ㅅㄱ...."
1679,저런식으로 넘어지면 자기도 쪽팔린건 알아가지고 머쓱해하면서 안아픈척하던데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 너무 귀여워용
1680,"백인하 평소처럼 백인호가 화낼 줄 알았는데 이번엔 자길 진짜로 ""포기한"" 것처럼 화도 안 내고 여상하니까 그거에 또 충격받은 얼굴이네..."
1681,내 동년배들 춘배.이모티콘. 사려고. 적금. 모은다!
1682,왠지 싫닼ㅋㅋㅋㅋ 뭔가 싫어ㅋㅋㅋㅋㄱㄲ
1683,인호 뭔가 아슬아슬 위태위태하다.. 당장이라도 울 것 같아 인호야 행복만해ㅜㅜ 피아노 계속쳐줘ㅜㅜ
1684,계속 느끼는건데 저 예능 망할 각인데? 진짜 소름끼치게 재미없잖아..심지어 팬층도 얼마없다며 그럼 좀 유명인사나 개유잼 사람들이랑 엮어야 되는데 진짜 저런 하하호호들끼리니까 지들끼리만 재밌고 진짜 와..와아..
1685,춘배는 그럼 여장하고 돌아다닌걸 냥밍아웃했고 남자인데 보미랑 동거하는중인것도 인증한거네 세상에...보미 짜이찌엔
1686,가끔 이걸 보다보면 이 작가가 sm플레이어 연재했던 사람이 아닌거 같아
1687,백인호 진짜 지옥의 주둥아리
1688,뭐야 주인공 아닌 애까지 잘생기면 어쩌자는거에요. 작가님.
1689,'...갑자기 너네 집에서 자게 됐다면서 할머니 선물은 또 언제 준비한거래?' 와 진짜 소름돋았다 친구분 진짜 날카로우시네요 저 같았으면 그냥 그 동창 친구 나도 좀 소개시켜 달라고 순주 바짓가랑이 붙잡고 매달렸을껄...
1690,"다영이가 둥글둥글? 완전 모난 앤데여
설이한테 하는 짓거리 보면 아주 심사 배배 꼬인 애임
오영곤이랑 사귄 것도 사실 끼리끼리고 벗어날 기회 몇 번이나 있었는데 지가 붙어있던 거임 
설이 도서관 알바 짤리게 한 것도 다영이잖아 
지 남친이 설이 쳐다본다고 
그게 싫으면 헤어졌어야지 왜 설이한테 난리람"
1691,ㅋㅋㅋㅋㅋ 비나가 덤덤한걸 잘 알면서도 비나 사역령이 자기를 조질거라고 믿어의심치 않다니 대체 벼루 비나한테 무슨 밉보일 짓을 한거람 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1692,홍련이가 자기 좋아하는 감정 보여서 평소대로 가르친다고 한 것 같은데ㅠㅠ 아니면말고
1693,아닠ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 받은거 그대로 되돌려줰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 돌아버렷ㅅㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1694,만약 모텔 데리고 갔으면 강간으로 고소 가능하고 지금상황도 성추행으로 고소 가능 저런새기는 신고가 답
1695,지금도 사이비로 의심하고 있는데 저기가면 확신으로 바뀌는거 아니냐곸ㅋㅋㅋ
1696,"아마도 눈에 흉터 있는사람이 많은 검은 인간이 강건 몸에 들어가있는걸 미리알고 전부 없애려고 불을 지른것같습니다.
한참을 안내려오고 위에 있었던것도 그 이유고
검은인간프로젝트를 한번에 없앨기회여서 그랬던듯 싶어요 애초에 그럴목적으로 데려다준다고 했던것이고 저렇게 불이 날것을
초록눈검은인간도 몰랐던듯싶어요."
1697,아니 신혼사진으로 뭘찍었길래 모자이크 처리가 되어있어요ㅋㅋㅋ레나랑 헨리가 옷 바꿔입어서 헨리가 웨딩드레스라도 입었낰ㅋㅋ
1698,돈 적게 줬으니 좋은거 아니냐는 사람도 보이는데 대학 생활에서 졸업 조지는건 보통 문제가 아님. 졸업장 빨리 따야 이후 취직도 원활하고 뭐든 가능해지는데 김상철은 저 시계값때문(만은 아니지만)에 졸업학기 던지고 쓸데없이 알바로 시간 다 날렸는데 그게 다 안해도 될 헛수고였네? ㅋㅋ 돈이 문제가 아님 저건. 어떻게 보면 사회생활 스타트라인부터 조진거임. 그리고 그걸 유도한것이야말로 유정이 김상철한테 먹인 빅엿이고.
1699,설이남친 잔망쩐다
1700,다시 보니까 설이가 차라리 울고 싶어하는 그 심정을 비로 표현하신 것 같다 얼굴이 비에 젖어서 눈물을 흘리는 느낌도 들고 내가 대체 뭐하는 거지라고 독백하는 게 들려
1701,범죄자 집단이 쟤를 데리고 온 이유가 있었네
1702,"근데 이건 도운의 속셈이라는 생각도 드는게.. 일단 홍련이 정식으로 왕후계자가 된것도 아니니 아직 죽이진 않을거고, 저렇게 왕이 쓰러지면 분명 세자쪽에 안좋은 말이 나올거같음. 세자는 맘에 안든다고 아픈 아비한테 가서 따졌다가 아비 쓰러지게한 패륜아라고. 그렇게 여론 몰아갈거같음."
1703,아나 은파가 나랑이 안고 둥기둥기하는거 왤케 귀엽지ㅋㅋㅋㅋㅋ 우리 나랑이 삼도천 토깽이ㅠㅠㅠㅠㅠㅠ
1704,와 유정 진짜ㅋㅋㅋㅋㅋ이럴 때 너무 무서워 ㅋㅋㅋㅋㅋㅋ부장님한테 1도 안 쫄고 찍어누르는 것 봐
1705,갑자기 분위기 로맨스;;;
1706,나 같아도 허조교 상황이면 성격 개파탄될 듯
1707,"왜요 사이다구만 ㅋㅋ 다들 공감하면서 왜 친구 욕하시나 
없는 말 지어낸 것도 아닌데"
1708,근데 남자들 무리에서 소문 더럽게 나는건 팩트인건 맞잖어..?  이과-공대테크 탔는데 내가 보고 들은건 뭐지..? 나 있는데서도 누구랑 누구랑 잔거같다느니 여친이랑 진도를 얼마나 뺏다느니 얘기하는데 지들끼리만 있는 톡방에서 뭔얘기할지 ㄹㅇ 무서움ㅋㅋㅋㅋ
1709,그럼 지금 신석기녀시점에서 정우랑 이미 아는사이라는거네 최근화에서 테러 언급된거 보면 신석기녀에서 정우 등장하는 겠다ㅋㅋ
1710,와중에 재우가 설이 부르려고 팔 잡는데 설이 표정 싹 굳어버리는 장면.. 그동안 설이가 영곤이 외 인물들 때문에 얼마나 고생하고 그걸로 인해서 뒤에서 누군가가 붙잡는 다는 행위가 트라우마로 남아버렸다는 게 너무 마음이 아프다.. 설아 꽃길만 걷자..ㅜㅜ
1711,맨날 재미있게 잘 보면서도 눈팅만 하고 별점도 안주고 리플도 안남기다가 베뎃보니까 조금 부끄럽네요.. 앞으론 별점이랑 댓글 꼬박고박 하겟습니다!
1712,1시방향 5보뒤 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1713,"해태한테 고소하던갘ㅋㅋㅋㄱㄱㅋㄱㅋㅋ
아 진짜 강유는 내가 상상한걸 항상 뛰어넘어
그러니 안좋아할수가 없어ㅠㅠ"
1714,아... 씨를 말리려고 그 탕약을 마시게 한 거엿구나
1715,오늘 네이버웹툰 역사상 레전드 ㅇㅈ
1716,누가 배댓에 재구 풀었어..?
1717,세상 모든곳에서 아빠가 보낸 스파이가 지켜본다 생각하면 토할거같아....
1718,근데 파라곤에서 너무 검성이 열정페이 시키는거 아님?? 판타지세계에서나 현실에서나 똑같네... 더러운 세상!!
1719,아니 이게 뭐가 분량이 적은거임 ㅋㅋㅋㅋㅋ?
1720,백인하는 돈 맡겨놨냐 유정네 뜯어먹다 안되니까 동생 뜯어먹네
1721,설아 원래 그런거야 ㅋㅋㅋㅋ 내가 이런 사람이 아닌데 왜 이러지?? 이런 감정 느끼는 게 연애야 ㅋㅋㅋ
1722,ㄱㄱㅋㅋㅋ싸우는데 전화 왔다고 다 닥치래ㅋㅋㅋㅋ
1723,이쯤되면 작가가 여자인지 남장인지 궁금해졌다 뭘 이렇게 잘알지
1724,매점 갖다오자 = 담배 피러 가자
1725,"왕자가 세빈이고, 집사 쪽의 최종 목적은 왕자를 죽이는 게 맞는 듯 왕자가 실체를 감춘 원인부터가 살해당할 위기를 넘겨서고 그때 살해하려고 했던 게 집사 쪽인 거지 아마 주인님과 집사는 동일인물 또는 목적이 같은 것 왕자는 하늘이일 가능성이 희박하다 왜냐하면 뛰지는 않았지만 하리를 안고 행사장을 빠져 나왔기 때문 하리를 안았다면 다리에 무리가 갈 텐데 그래서 불가능이다 결론: 하리 예쁘다 ;"
1726,내일에서 다루는 주제들은 우리 사회의 어두운 면이고 피해자들의 고통을 알 수가 없으니 댓글도 함부로 적지 못 하겠어요...
1727,༼;´༎ຶ۝༎ຶ༽제발 다음화를 주세요 제발요༼;´༎ຶ۝༎ຶ༽
1728,슈퍼 할인 전단지 챙겨놓으라니.. 찬영이 너무 알뜰하게 사는거 아니야?
1729,"여자: 아니요
시어머니: 유감"
1730,응 여자도 그렇게 말하는 남자 싫어해^^
1731,저 아저씨 뭐임 너 거지가 어떻게 국왕남편이 됫늠지 모르겟지만 부괴롭히면 너는 수염을 우리 아가한테 한가닥씩 뽑으라고할꺼야
1732,그 아저씨 목매단거 가족들한테 알려야된다고 했더니 상사가 딸 죽었다고 하지않았었나..? 거짓말한거? 은폐하려고??? 와... 진짜..소름돋네
1733,지들 족보 필요하니깐 살살 웃으면서 접근하는거 참 보기 싫다ㅎㅎ 딴 애들은 그렇다 쳐도 이다영은 원래 설이 싫어 했으면서 필요하니깐 저러네;
1734,뭐여 설마 뒤에 재수탱이 안경이랑 쌍둥이임?
1735,원래 다정했는데 제일 믿었던 사람들이 배신해서 자신을 죽이레하는데 누가 안미치겠냐  나는 이해된다
1736,거 애새끼 진짜
1737,눈썹 만지는거바ㅋㅋㅋㅋㅋ짜식 귀엽든 무섭든 하나만해
1738,와 옛날에 왜 유정이 저 상황에 사진 찍었다고 생각한거짘ㅋㅋㅋㅋㅋㅋㅋ 자취방 집주인 손자라고 구라친 변태새끼도 개팼던 유정인데.. 누가봐도 인하가 찍은 상황이 맞넼ㅋㅋㅋㅋ
1739,인제이 얼굴 씹소름이네
1740,그게 무슨 개소리냐고 할 때 남훈이컷으로 바뀐게 떡밥인건가
1741,관심있어서 시비털기보단 진짜 계속 거슬려서 이땐 좀 밟아놓으려고하는것같은디
1742,아니 왜 아무도 어르신 전화걸때 존잘인거 언급안함?
1743,"억지로 멀어진다기 보단 인하가 술마시고 한 얘기가 인호한테 영향을 미친 것 같은데,,"
1744,검성이 '아 침대다'하고 털썩 눕는거 왤케 귀엽짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1745,저게 그때 퐝코가 말한 강북사신 상대한 세번째 신도림 전력인듯? 그럼 돌칼은 아닌건가? 돌칼이 세번째인줄 알았는데.
1746,아니 여기서 왜 로멘스 찾냐고하는 사람들 좀 있는데 작품 소개에 로멘스라고 써있으니까 로멘스찾죠;;;;
1747,아...우락민우 일주일 기다렸는데...건지건 바람이 팔뚝뿐이다
1748,"인호도 자기가 한 짓 있으니까 죄책감에 인하가 한거라고 말도 못한거겠지... 아... 진짜 인하 입장도 너무 안타까워서 미치겠음 애가 어쩌다 저렇게 미친거겠어 다 이유가 있는데... 셋 다 어릴때였고 모든걸 알수있는게 아니니까, 각자 자기 살겠다고 한 행동들이 너무 많이 꼬이고 썩어버린거지..."
1749,솔직히 21억이면 혹할만하지 인정한다
1750,야 김장미 말취소해라 니가 가장쌘건 인정하는대 유한라&나사랑씨가 가장예쁘다 니가 낄자리가 아니야
1751,"사람들이 형은 초록눈이다 깜장이다 이렇게 다투고있지만
내 생각으로는 2명모두가 형일수도 있다고 생각함 초록눈은 억울한죽음으로 인해 흑화한 형의 인격이고 깜장이는 흑화한인격에 거부하는 또 다름 인격이라고 생각이되기도함 일단 강남의 형 강건이 검은인간 프로젝트 실험체있건 확실한것 같고 초록눈은 강건의 몸에있던 검은인긴이고 깜장이가 형이라고도 볼수있을거같다"
1752,망고맛 메로나는 없습니까?에헤이 참 다시사오세요.
1753,출판사들은 뭐하는거야...얼릉 랑또님 낚아채지않고
1754,잠시만 윤재 캐스팅해서 4인조 그룹 만들면 박혁거세 아니냐..?
1755,고니고니 왜 거기서 나오는 고니
1756,과 컴공쪽인 것 같은데 충분히 새이 혼자 여자였을 수 있는 거 아님? 우리 학교 컴공 성비 38대 1인가 그런데... 새이가 OOO은 맞지만 이상한 쪽으로 꼬투리 잡는 듯
1757,여자 배구선수나 여자 농구선수보고도 남자잖아 할 사람들ㅋㅋㅋ
1758,둘 다 대체 무슨 음식을 만드는거야ㅋㅋㅋㅋㅋㅋㅋㅋ
1759,"여기서 작가님의 함정이 나옵니다.
저 공장의 모두는 '유니폼'을 입고 있고,
머리없는 귀신은 말 그대로 '머리'가 없죠.
또한 모든 귀신들의 이야기는 본인 이야기 입니다.
모두 머리 아래는 똑같이 생겼기 때문에 머리 없는 귀신이 누구인지는 끝까지 알 수 없단 거죠...
제가 보기엔 아무래도 저 아저씨는 아닌 거 같은데...참수된 것도 아니고, 아직은 몸이 빈 것도 아닌 상태니까요."
1760,그래.빙어 낚아서 족쳐버려.
1761,내 여름은 언제 시작해?
1762,아니...왜 다 정우를 민우라고 하시는지....
1763,영재가 자존감도 낮고 사회성도 많이 없어서 그렇지 벌써 수빈이 손절했어야함.. 수빈이 주인공으로 두기엔 너무 극혐인데 이입 하나도 안될만큼 도라이같음 개답답 
1764,야 어떻게 고양일 때리냐 진짜 양심도없지 동물때리는거아니야 자식아
1765,그래서 옆동네가 어딘데
1766,쿠키 백개 다 사용했네..  또 사야지
1767,"예즨부터 알고있었지만 체르타보낼때 슬퍼서 우짜냐
지금도 아슬아슬한데"
1768,"용비불패의 매력은 전투신같이 진지할땐 세계최고 진지한데 가벼울땐 갑자기 땀삐질 하면서 개그캐 되고, 악역에 단역 마저도 버릴캐릭이 하나없다 ㅎㅎ"
1769,검성: I Was a Car. (나는 차였다.)
1770,마지막에 은정이가 흠칫한 이유는 다정이가 전화로 언니?라고 했으니까 자신말고 다른 언니가 있다고 생각해서 은정이 입장에선 어 얘 진짜 내동생 아닌가? 라고 생각해서이려나...?
1771,싸이먼도미닉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개뿜었다
1772,수치플이고 뭐고 당해봐야지 동생새끼가 20살 넘게쳐먹고 사리판단 못하고 풍족하지도 않은집에서 돈은 꼬박꼬박 빼먹고 헛짓거리나 하고다니는거 ㄹㅇ 보고있으면 이입돼서 속이 터진다
1773,프로게이머 하려면 인성도 중요함 저렇게 게임에서 욕을 심하게 하거나 대리 이런거 하면 프로가서 나중에 말 많아짐
1774,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ수치플 오졌다
1775,"ㅋㅋㅋㅋㅋㅋㅋㅋ아이고야...패치가 해도 너무 했나보다...
이젠 베댓에서도 대리님이 아니라 아저씨라 그러네ㅋㅋ
그러게 왜 그랬어요 아저씨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
1776,하 미친 애꿎은 애를 왜 납치한거야;;
1777,아 그래 저기서 레포트 버릴 결심을 한 거였냐 이 무섭고 스윗한 인간아
1778,히아 전화받기 싫어서 핸드폰 부수는 거냐고ㅋㅋㄱㅋㄱㅌㄱㅋㄱㅋㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋ
1779,작가님 일주일에 두번 연재 안될까요.........
1780,일주일치 급체 내려간기분
1781,무슨일이 있어도 칼을 뺏기지 마라 = 뺏긴다
1782,하.....마지막.......내 심금이 울었어......당신......
1783,죽 내리는데 리 있는 거 연출봐봐...;;
1784,저 기분 알지ㅠㅠ 나는 아직도 거기서 못 벗어나는데 남들은 아무렇지않게 벗어나고...은별이가 주눅 들 일은 아닌데 괜히 주눅들거나 우울해하지 않았으면ㅠㅠ
1785,근데 독자 입장에서는 정이가 경비 불러준 걸 알고 있지만 설이입장에서 선배는 작년의 유정은 노숙자가 깨진 병을 들고 내가 있는 곳으로 갔는데 자기 일 아니라며 간 사람인거잖아... 아무리 생각해봐도 내 입장이면 너무 소름돋아서 가까이 못 지낼 것 같음 ㅜㅠㅠ 작년에 싫어하는 것 알았어도 좀 다른 문제잖니까..
1786,이걸 보려고... 이걸 보려고... 오전 6시부터 일어나 만원 버스에 환승 두 번을 겪고 주5일 돈을 벌었습니다...
1787,땡전 앞에서 종이 이름을 파네 ㅋㅋ
1788,알면서 모르는척하면서 직접나서지않고 설이한테 영향을 준것자체가 설이 입장에선 조난빡칠만함 좋은사이도 아닌데 같은 학과라서 부딪히는 일도 많으니깐 나같아도 1부 2부때 잘해준거 황당하고 저사람이 왜저러지라는 생각이 들듯
1789,"스토커 지한채 삘이다,,, 주다홍은 애초에 지금까지 나온 성격상 그럴 인물이 아닌 듯"
1790,베댓이 왜 다 2월이야
1791,유정 문자말투 넘딱귀여운것 ㅠㅠㅠㅠㅠㅜㅜㅜ
1792,추기경은 저때 찍혔는데 어떻게 추기경까지된거임 어?? 마야도 같이 사제하고 주교했는데 왜 마야는 추기경 안된거야 그렇게까지 물러터지지도 않았는데
1793,"막컷 왜 이렇게 아련하냐?
그리고 강유 예쁘다"
1794,인간들은 짐승만도 못한놈이라고 하고 짐승들은 인간만도 못한놈이라고 하네ㅋㅋㅋㅋㅋ
1795,웅이랑 유미랑 키스한 장면 3초이상 자세히 본사람 눌러라
1796,아니 그러면 법구 하나씩 꺼낼때마다 손가락 깨물어야 되는건가ㅠㅠㅠㅠㅠㅠㅠㅠ보기만 해도 아픈데...
1797,한태운이 안 비비는 이유가 있지
1798,무캐 망낭이 발 잘린거 먹었데ㅋㅋㅋㅋ 먹지마 지지야 지지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1799,전생 남자 구렛나루 보니까 회색인데요?!?!?!?!!?!?
1800,펜에 바를 정자를 써도 모두 정답을 맞출 수는 없습니다. 각인받은 펜을 쓴 사람도 바른 자리가 어딘지 알고 있어야 하기 때문이죠. 즉 답을 모르면 말짱 도루묵... 마킹 실수는 없겠네요.. ㅋ..ㅋㅋㅋㅠㅠㅋㅋㅋㅋㅋ
1801,설이개비가 여기서 제일 발암캐임
1802,"정아 입덕부정기 너무 길었다 그지??
그 수많은 사람들의 웅성거림속에서 설이 목소리만 또렷히 듣는 거 봐
"
1803,누가 춘배를 버리냐...춘배야 괜찮아 너 버려질일 없어...이웹툰에 춘배야가 몇명인데...
1804,편의점알바생한테 제발....저러지좀 맙시다..하 개빡치네요..하 편의점알바하는사람인데..아진짜 저런사람진짜 화나고 짜증나요 봉투값을 받으라고 법으로 나왔는데 그냥주냐고..아ㅜㅜ개짜증
1805,저 여자는 다음주에 죽을거 같네
1806,유정이는 그냥 인간관계에 치인 잘생남이었을뿐인데
1807,데우스 어떡해 그냥 저때 죽었으면 하고 생각했던 건 아닐까 자기가 살아있는거 자체에 죄책감을 느끼는 걸까 저때 감정은 어땠을까 진짜 멘탈 바스라졌ㅅ어
1808,"정이는 인호가 본인에게 어떤 오해를 가지고 있었는지라도 알았지만
인호는 정이가 어떤 오해를 하고 있었던 건지도 몰랐으니 얼마나 답답했을까..."
1809,"마지막 장면에 우암이 이무기 비늘 (?) 같은 조그만 액을 정화했는데요,,,
제 생각에 저건 그동안 강유가 써오던 소멸과 비슷해 보입니다
우선 우암이 말한대로는, 정화를 쓰기 위해서는 액을 불쌍히 여기는 감정이 있어야 한다고 했습니다 그런데 사실 우암은 감정이 무뎌진 상태니까 정화를 하기 위해서는 감정을 쥐어짜내야 하겠죠 
근데 저건 이무기 액이니까 감정 쥐어짤 거 없이 대충 정화한 게 아닐까요 ?
?  그 강유가 카페에서 알바할 때 감정없는 상태로 ""내가 자넬 내쫓을 수도 있는데 가만히 두는 것도 나의 선택이다""라고 우암이 이무기한테 그랬잖아요 우암은 이무기를 별로 마음에 안 들어하는거 같은데요,,,? 어떤 이득을 위해 내쫓지 않고 두고 있는 거 아닐까요"
1810,학원 남자새끼들 존나 빡치네 ㅋㅋ
1811,600원...6개의 쿠키가 그냥 스르륵 이아니라 바사삭 하고 사라졌네요....
1812,저 양아치ㅅㄲ ㄹㅇ빡대가리인가? 철수 동생이란걸 몰라서 그런건가 화상자국있고 철수동생인거 알면 함부로 못깝칠텐데 왜 나대는거지 ㅋㅋㅋㅋㅋㅋㅋㅋ
1813,만약에 충 특 : 지가 원하는 대답 아니면 상황 극한으로 몰고 감 걍 쳐 죽는 것밖에 답이 없을 정도로
