,high_comment_True
2055,"우암의 홍조는
언제 봐도 영화로우며 짜릿하고 새로운 참된 진리로다"
2056,정설 머리 돌아가는 거 보면 수석차석인 이유가 있다...
2057,"다정이는 그냥 언니가 많이 그리웠을거야
왜 그런 선택을 했는지
왜 자길 버려야만 했는지
지금 행복한지
묻고 싶은것이 한 가득이겠지만 참는거지
잠시나마 모른척하며 언니랑 아무걱정없이 그림그리면서 놀던 그때가 그리워서"
2058,근데 홍씨 집에 돌아오면  충격이 너무 크겠다... 사랑하는 아내는 여우가 되어 사라져버렸고 딸과 조카도 행방불명에 집도 다 부서져버렸으니... ㅠㅠ
2059,어우 현준이 센스쟁이^^
2060,고깃집 사장? 대박... 처리가 겁나 맘에 드는.. 아니 원래 저래야하는데 대박.. 도끼 겁나 멋져
2061,이번 안성 창고 화재때 먼저 도착하여 지하실로 진입하시다 폭발로 순직한 안성소방서 원곡119안전센터 소속 석원호 소방위님의 명복을 빕니다. 항상 남을 구하기 위해 자신의 목숨을 거시는 대한민국 소방관분들의 안전을 기도합니다.
2062,근데 왕자가 존대하는건 오히려 교육 잘받은거 아닌가요ㅋㅋㅋㅋㅋㅋㅋ판타지에서 백성한테 반말까는거 솔직히 예의없음ㅋㅋㅋㅋ대통령도 국민한테 존대하는데ㅋㅋㅋㅋㅋ
2063,이제 그만 연기하고 사겨
2064,건들소리나면 건들인게 중요치않음 강력하게 의견을 추진만하면댐 ㅋㅋ
2065,예의언맨
2066,처음으로 로맨스다운 화였다.. 작가님 사는동안 적게 일하고 많이 버세요ㅜㅠㅜㅜ
2067,유정 뭘 아는구먼 역시 남자는 핑크지
2068,"부러진 칼은 누구거죠?
용비는 창을 휘둘렀는데..."
2069,ㅇ으어아어ㅡ엉어이제알았녜ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ9내가미쳐유얀아ㅠㅠㅠㅠㅠㅠㅠ사랑해ㅠㅠㅠㅠㅠㅠ
2070,인호가 정이 챙기는거 왤캐 귀엽냐 ㅣㅠㅠㅠ 둘다 제발 행복해져라...
2071,하.. 제발 행복하셨으면 좋겠고 륭구도 마음의짐좀 내려놨으면 좋겠다 ㅠㅠ
2072,우리 오빤 날 무기로 삼을듯
2073,류혜진 정말 케릭터가 개 입체적이다 ㅋㅋㅋㅋ 네이버에 이렇게 역대급 케릭터가 있었나??? 이건 뭐 케릭터 자체로 너무 매력있다 정말
2074,"늘 자길보면서 위로받고 행복해하는 형인데
자기가 아팠을때 안타까워하고 슬퍼하는 모습을 보고
죽고나면 자기보다 형이 더 슬퍼하고 힘들어할까봐 스스로 나와서 생을 마감하고 저승에서 형을 기다리고싶었던가..
저정도로 힘들어하고 슬퍼하는 형의 모습을 아니까 콩이도 형을 못봐서 슬프고 괴로워서 빨리 죽고싶은걸지도 ㅜ"
2075,진짜로 반려견이나 반려묘등의 동물을 키우시는 분들은 저런거에 진짜 민감하시겠네요...ㅠ
2076,그때는 이렇게 사랑스러운 또라이인걸 몰랐으니까여ㅋㅋㅋㅋ진짜 연예인 보는것마냥 민석이 좋아한다는거 밝혀진 이후로ㅋㅋㅋㅋ
2077,"유연아 사랑한다ㅠㅠㅠㅠㅠ 너무 설레 이번화 최고야ㅠㅠㅠ
바름아ㅠㅠㅠ 이거 진심이야ㅠㅠ 절대 슬김에 하는 말이라고 얼렁뚱땅 넘어가면 안돼ㅠㅠㅠ 처음부터 끝까지 너 옆에 있을 사람 유연이야ㅠㅠㅠㅠ"
2078,마지막 완전 홍유정이네 
2079,아 우암... 춤추는거 보고싶... 귀엽겠..다.... 나도 같이 만족))
2080,뼈다귀가 이~~만했쩌여
2081,잠만... 그럼 장모님의 능력을 사위가??!
2082,점점 단장은 알다가도 모르겠다 착한거같은데 나쁜거같고
2083,정이 핸드폰 톡톡 하는거 너무 귀여워서 지구뿌셔 ㅠㅜㅜㅜㅠ
2084,아 유정 연애질하는거 존멋;; 내가 같은과였으면 짝사랑만 하면서 유정 카톡하는거 보고 눈물흘릴 st
2085,보라ㅋㅋㅋㅋㅋㅋㅋㅋ 설이 몇대 더 때렸는지 세고있었어 핵귀 ㅋㅋㅋㅋ
2086,할아버지 제가 모셔다 드릴게요..저 둘이 있게좀 놔두죠ㅎㅎ..
2087,하 우연파에 올인하길 잘했어...... 좋은 배팅이였다.....
2088,"하나, 둘, 셋해도 둘다 안끊는건줄 알았는데ㅋㅋㅋㅋㅋㅋㅋㅋ 역시 무빙건 예측을 가볍게 빗나가네"
2089,현재양을 거꾸로하면 양재현
2090,끼야야야야야야얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2091,"토요웹툰 7위? 내가 보기엔 전치 웹툰 1위가 당연한데.
진심 너무 좋아요 ^^"
2092,담이패션..내가 하고 다니는건데... 그렇게 충격적인가?.. ㅎ
2093,유미 머리카락이 위장막이얔ㅋㅋㅋ귀여웤ㅋㅋㅋㅋ
2094,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ. 이번 화는 산삼이 씬스틸러다.. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
삼삼삼... 벌릿... 쏙... 이라니.. ㅋㅋㅋㅋㅋㅋㅋ"
2095,확실히 호감이 생긴상태니까 좋게좋게 생각하려고 하는게 눈에보인다. 예전같았으면 무조건 의심하고 관찰헀을텐데
2096,인호 다시 피아노 칠 수 있었으면 좋겠다
2097,근데 줄리아 진짜 멋있는 거 아님? 혼자일 때 친구들이 다가와주면 속 뻔히 보이면서도 내치기 힘든 법인데 저걸 저렇게 알아보고.. 속마음 진짜 강하다 멋있다ㅠ
2098,캐릭터로서는 오히려 산군보다 빠르가 훨씬 매력적임
2099,"암주: 초면이라 봐준다.
복아: 나도 초면이었잖아
한설: 나도
정기: 나도
암주: ........."
2100,도운은 홍련을 안 사랑하다보니 왕의 마음이 슬슬 떠나가는 걸 정치적인 감으로 이미 눈치 까고 있음ㅋㅋㅋㅋㅋ지가 생각해도 정 떨어질 때 됐단 거지ㅋㅋㅋㅋㅋㅋ정치배틀 기대된다
2101,무이가 혼자 상상하는 연애 완전 설레!!!!!!! 나중에 둘이 실제로 연애하는거 나오면 심장 터지고 엄마미소 쩔듯 크...근데 음식 보니 야채 뿐인게 다이어트음식 같은데 왜 안 먹어..☆
2102,내 자존감 높여주는 사람 만나면서 긍정적으로 바뀌고 회복하는 것만큼 좋은게 있을까.. 유일아 하고싶은거 하면서 살자❤️ 무이씨 앞으로 잘부탁해용❤️
2103,"이율이 공감되면서 멋지다
사람한테 계속 치이다보고 휘둘리다보면 사람이라는게 싫어지고 그렇게 인간관계에 멀어져있는 나보면 싫어지는데 저렇게 떳떳히 잘 지내는게 멋지네"
2104,기대해 즐겨듣던 그 멜로디 오우어
2105,손민수는 설이준이같은 얼굴상을 좋아하나
2106,천재는 천재밖에 못 가르친다고 하지
2107,난 진짜 인호가 늘 행복했으면 좋겠다... 왠지는 몰라도 치즈인더트랩 캐중에 인호가 제일 현실속 어딘가에서 살아있을 거 같음...
2108,아니 저 경비아저씨ㅋㅋㅋㅋㅋㅋ 화이트데이라는 게임에 나오는 경비잖아요ㅋㅋㅋㅋㅋㅋㅋㅋ 작가님 여기저기서 패러디 하는 소재 가져오실 때마다 반갑고 넘 좋아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2109,진짜 잔월대마 대진운이 거의 죽음의 조였지.
2110,"와 흑색창기병 전투력 ㄹㅇ 지리네.......
용비랑 비룡 성격 갭도 지리고"
2111,이갑연이 딱 찾는 인재가 바로 도련님이겠네.. 사군자랑 맞서는 용기나 글 다루는 능력이나 뭐하나 안빠지고 지금 암주 다친상태니까 천둥지에 글 써달라고 부탁할수도 있겠네요. 만약 그렇게 되면 그 경우에 명영이가 자기 마을에서 나는 종이인걸 알아보고 어떻게 대처할지가 관건인듯.
2112,"갑연이는 어쩌면 신룡보다 더욱 갑희를 사랑하는것일수도 있겠네요 명영이 그만큼 강자라는것을 알면서도 명영의성품(꼭 지킬것이라는)하나만 믿고 베팅거는게...
강자에게 원한을 싼다는건 자기 인생 자기가 삽갖고 파겠다는것과 같다는것을 갑연이 모를리가없지요
그정도로 자신에게 피해를 입어가면서 갑희에게 힘이 되어주려고하네요(안되겠지만)"
2113,어떻기 스토리가 이리도 포근하지? 보는 내내 너무 편안하고 기분 좋아짐 중간중간 섬세하고 귀여운 설정이랑 세계관이 너무 재밌고 보면 볼수록 빠져들어서 쿠키까지 구워버림
2114,다들이제 숨쉬세요
2115,재현아 나 진짜 너 때문에 못 살겠어 너무 좋아서 오늘 재현이 왜 이렇게 내츄럴 한거죠? ㅠㅠ 엉엉 바름이가 좋아하는 영화도 기억하고 제일 먼저 카톡 확인하는 것도 바름이야!!!!!!!!! ㅠㅠ 울 재현이 잘한다 잘해 앞으로 이렇게만 가자 ㅠㅠ ❤️❤️❤️
2116,오.........진영이 생각보다 쓰레기였는데
2117,진짜 작가님 개그 속에 슬픈장면 잘 넣으시는듯
2118,"유정은 회사에서도 중심이네 

당시 배댓인데 기억 나네요 "
2119,응큼세포가 이컷을 좋아합니다.
2120,난 다른 웹툰들이랑 다르게 유미의 세포 제일 좋은점이 여주가 멍청하지 않고 아주 현명하고 똑똑함. 가끔 어리버리해도 제대로 해야할땐 제대로 해서 좋음.
2121,"어르신...으른미가 진짜... 가만히 있어도 철철 넘치시네요.... 연상짱짱.. (물론 세기를 넘나든 연상이지만) -,.-bb"
2122,현이 앞머리 깐거 아톰같아ㅋㅋㅋㅋ 귀여워
2123,무케가 빠르보다 딜이 좋은데??
2124,이미 눈치챈듯 ㅎ
2125,"인호와의 대화를 설이가 들었을때 가려던 설이의 손을 잡았었는데 그때 설이가 손을 내친게 타격이 컸을듯,,, 원래 자기가 손을 잡았을 때 절대 놓지 못할거라 생각했고 그걸 이용해서 자기를 떠나지 못하게 하는 부분들이 있었는데, 얘기를 들은 설이가 본인의 손을 내치고 이제 설이가 진짜로 자기를 떠날 수 있다는 생각을 받아서  과거에 여러번 싸웠을 때보다 타격을 크게 받은듯. 진짜 마지막일 수도 있어서."
2126,"정이랑 설이 둘 다 눈치장난아니네요
보는 내내 너무 긴장되고 내가 못 알아채는게 있나싶고ㅠ
작가님진짜 섬세하시고 대단하세요"
2127,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2128,아 하난이 '낭자가 과거를 보러오실거라 믿습니다.'이 대사 왜케 좋죠ㅠㅠㅜㅜㅜㅠ 제 안에서 하난이는 등불이라면 명영이는 그 등불 들어주는 사람... 하난이가 이정표면 명영이는 그 이정표를 바라보고 걷는 사람... 그래서 하난이는 명영이로 인해 자신의 존재가 비로소 가치있어진 것이겠죠ㅠ 이정표가 그 길을 가리켜도 아무도 그 길 가지 않으면 헛것인데 명영이가 가줬으니까ㅠ
2129,"답답함이 없다. 하고싶은말을 다해준다 액션도 있으면서 귀엽다 매력이 뿜뿜넘친다 
거기에 보너스로 개그까지 넣어준다
추가로 내취향이다
뭐 이런웹툰이다있지? ㅋㅋㅋㅋㅋㅋㅋㅋ"
2130,킁어 울 흑장미 국견우 사랑해 우주지구뿌셔 
2131,아버님 쿨하신거봐 ㄷㄷ
2132,뭨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왘ㅋㅋㅋㅋㅋㅋㅋㅋ 그럼내가 변비생각하면 똥이 뛰어다님?ㅋㅋㅋㅋㅋㅋ...ㅋㅋ...ㅋ....아 잠깐 더럽잖아.
2133,"사귀다 정드는 타입일수도 있고
정들고 사귀는 타입일수도 있는거지~

지말이 다맞대ㅡㅡ 친구이상해..
니나 꾸며~ 남이 공부하든 연애하든
하고싶은거하겠다는데 어이없네"
2134,도운이 표정 진짜 다양해졌네.. 옛날같았으면 정색하고 말았을텐데 이제는 화난 표정이 확 보임
2135,노마진 친구입니다
2136,아 근데 왜 아무도 다현이 언급이없어 지금 다현이 어머님이랑 저사람이랑 결혼하면 큰일나는거 아니냐 교수랑 같이 일하는사람인데 제발 다현이는 꽃길 걸어야지 ㅜ
2137,??? : 나 방금전 용비 후두려패는 상상함 ㅋㅋㅋㅋㅋ
2138,크으...  용비불패 최고의 명승부
2139,"아닠ㅋㅋㅋㅋㅋㅋ수영이랑 일이는 언제 친해질거냐ㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋ아 웃겨뒤지겟다ㅋㅋㅋㅋ
너네둘 케미 너무좋다"
2140,ㅠㅠ외로움타는 춘배 너무 조그맣고ㅠㅠ등 쓰다듬어주고싶고ㅠㅠ 행복해라 춘배야ㅠㅠㅠㅠ8OOO
2141,"휘둘리는 기분이라 기분나쁜데
휘둘려서 기분좋다 "
2142,"??? : 조그마한 게 좋긴 하네요, 밟기에



(마상)"
2143,여주도 남주처럼 변해가네 둘이 나중에 캐미 쩔듯
2144,정이같이 모든 걸 해결해줄 수 있을 것 같은 사람이 모두 다 괜찮다고 해주면 진짜 든든하고 의지될 듯
2145,유정은 진짜 설이 엄청 좋아하네ㅋㅋㅋ 아니 당연하지만 새삼스럽게 느껴진다
2146,"저도 집에 자매만 넷에 막내라서 남자짝꿍이랑 어찌 얘기하는지 참 어려웠었네요 노는것도 그렇고ㅋㅋ
여중 남녀공학 고등학교 갔는데 어색어색~~
그래도 어찌어찌 결혼했는데 아들만 둘 낳았어요;;;
키우다보니 그냥 다른 인류라서 그랬던거구나...
싶어요ㅋㅋㅋㅋㅋ아들 키우기 힘듭니다ㅠ.ㅠ
이해가 아니라 그냥 받아들이기로ㅋㅋㅋㅋㅋ"
2147,바비는 그걸 알았을때 얼마나 슬펐을까
2148,작가님 빠른 쾌유를 빕니다.
2149,솔직히 이정도면 유연이 바름이 사귀는거아니니...ㅠㅠ 혹시 독자분들 몰래 비밀연애 하는고야...??
2150,치인트 다시 보니까 감정선 세심하고 캐릭터가 하나하나 다 실아있다 진심 작가님 천재야 ㅠㅠ 
2151,우리집에도 저 걸레 있는데 청소해주면 좋겠다
2152,유정이랑 인호랑 둘다 설이가 자기 같은 사람이라고 생각하고 신경 쓰게 됐고 둘다 끝자락에는 나랑 다르다는 걸 깨닫게 되네..
2153,보라랑 은태긔 넘 든든행 ㅠㅠㅠ
2154,설이가 남자 얼굴을 너무 보지않아서 다행이다 나같으면 이미만났을때부터 인호 유정 둘다 반해서 상상으로 결혼까지 성공했다ㅠ
2155,미리보기방식이 바꼈다?! 이무기 부끄러워하는거 최고///
2156,근데 사람은 왜 밟고다녀
2157,세상에 어떻게 불면증이랑 악몽이랑 선잠까지 귀여울 수가 있지
2158,구웅 성격에 아직 다 짐을 못 정리했을 거 같진 않고.. 집을 아직 못 구한 거 같은데.. 아이고ㅠㅠ
2159,어머니 막짤 빅픽쳐 ㅎㅎ
2160,용케 떡에 묻은 소스는 지켜냈구나ㅋㅋㅋㅋㅋ
2161,도영씨가 이상하게 생각할까봐 걱정이야
2162,"근데 저만 줄리아 오빠가 ""기죽지마 우린잘못없어"" 이말 너무 멋지나요....?"
2163,스왈브로스키짓ㅋㅋㅋ
2164,경환이 눈치도 빠르고 자기 할 일은 또 나름 하는 것 같고 할 말도 제때제때 시원하게 해서 좋음
2165,다시 보니.. 인호의 매력이 안 느껴져요.. 현실이라면 너무 무례힌것..
2166,작가님 말 봤는데 작가님 교생이셨어요?????
2167,졸라 재밌고 빡친다..
2168,"저느낌 알것같아..
내가 중학생때 엄마가 내 동생을 낳고 돌아가신뒤
동생은 나에게 삶의 의미였으니까..."
2169,란이 살아있습니다!! 저번 화에 심각한 줄 알았는데. 다행이다.
2170,핑크맨 두뇌가 다른 부위들 컨트롤 하는건 맞는것 같고 근데 그 부위가 방희한테 있어서 아빠는 늙는건데 자신에게 그 부위가 없다는걸 안들키려고 가면 쓰고 다니는중인듯 자기가 늙은게 보이면 바로 들통나니까 있는 척 하고 섣불리 공격 못하게 하는 작전인듯 근데 나중에 들통나고 결국 죽을 것 같고 방희가 히로인이 될듯하다
2171,와 근데 다연이 완전 상처받았겠다.. 솔직히 자기 친구들 그리고 자기 뒷담을 저렇게 쭉 까왔다는걸 알게 됐는데..
2172,란 사라지지마ㅠ 근데 란 올려다볼때 왼쪽눈 안움직이는것도 찌통
2173,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2174,그리고 또 소름 돋는게 저 여자가 맨몸에 걸친거 무이가 그대로 입은거잖....
2175,이 때부터 프롤로그에서 나온 전설의 소방사 호수가 되는 첫 걸음인 것 같네요
2176,님들 막컷에 뒤 자세히 보시면 아난타 플레이어 이름에 세르게이 되있음
2177,"4부부터는 설이의 독백이 참 담백하고 인상적인듯
명언도 많고 인간관계에 대한 이야기도 상상이상으로 더 깊게 푸는 작가님 최고.."
2178,외전은 더 지림
2179,"별명(xotn****) 용비가 놀란 이유는 저 남자가 흑색창연환칠식을 사용하기 때문입니다. 이름만 봐도 흑색창기병대 시절 사용하던 창술이라는걸 알수 있고 작중 내내 용비가 사용하던 창(봉)술입니다. 용비가 ""망령이 아니고서야..""라고 했으니 그 시절 전우들은 다 죽은것으로 추측되는데, 이 남자가 그 기술을 사용하니 놀라는겁니다."
2180,한나 웃는 게 너무 예뻐요ㅠㅠㅠㅠㅠ앞으로도 자주 웃어줬음 좋겠어요
2181,수빈이가 타격이 제일 큰 건 맞지만 타격이 크게끔 일을 점점 더 크게 만든 것도 수빈이 자신이에요. 방송 나가서 즐긴 건 본인이고 그걸 누군가 강요한 건 아니잖아요. 안타깝더라도 그에 따른 책임은 수빈이 자신이 감당해야 할 몫인 것 같아요. 그나저나 도희는 비밀을 알게 된 걸로 영재나 수빈이 협박하려는 걸까.. 왜 갑자기 방 2개짜리로 옮기고 돈 걱정하지 말라는지 그게 더 불안하고 걱정되네요.
2182,우리는 이번 화를 통해 취업도 타이밍과 운이라는 것을 알 수 있었습니다 ㅋㅋㅋㅋㅋㅋ
2183,하 유연이 귓속말 넘 설레...
2184,와 이율 처음부터 잘생겼다 하면서 웃고 있었는데 마지막에 완전 치여버리네 작가님 전 둘중 못고르니 엔딩은 두개로 부탁드려요..
2185,싫어요 저리 가세요
2186,이무기 포스 ㅎㄷㄷ
2187,하... 본인은 아무렇지 않으니까 좋다고하네....
2188,재판받으러 가는 와중에도 계속 이생소리만 하는 당신... 그 자신감 충만한 모습 아주 멋져
2189,"은비 진짜 밝고 당당해져서 내가 다 기분좋다...먼저 이야기들어주겠다는 말도 할수 있을정도로 자신이 더 당당해지고, 그만큼더 많이 성장했다는 소리니까"
2190,ㅠㅠㅠㅠㅠ미쳤다 오늘 유연이 미모....... 어쩜 날이 갈수록 더 멋있냐.... 매주 볼 때마다 유연이 때문에 내 심장이 남아나질 않아..
2191,나도 어릴 땐 인하 욕하면서 봤는데 ㅋㅋㅋㅋㅋㅋ 지금 보니까 그냥 윈윈한 관계였던 거잖아 ㅋㅋ
2192,자양왕녀 굳이 홍련이한테 와서 그러는거보면 홍련이한테 관심 많은 것 같은데...나중에 성장한 홍련을 보고 자양왕녀가 반할 것이라고 굳게 믿고 미리 주식 사둡니다...
2193,아 유정선배 너무 귀여워 왜저래? 어케 저렇게 귀엽지 사람이
2194,"설이가족 떠나고 혼자 남은 정이..
쓸쓸해 보여.
강압적인 아빠, 부재중인 엄마..
저 아이도 참 외로웠을 것 같아....."
2195,우오아아아앙아..벤자민 윌리엄스라는 오빠 진짜 잘생겼다 아니 네임리스 가면 분들 다 잘생기고 예뻐 대박이야...? 바이브레이션 단장님도 매력터져... 아 좋아
2196,"타이트니스라는 이름이 Tightness 였네요
단단함이라는 뜻에서 접근하면
탄탄한 전통을 지닌 게임이라고 보일수도 있고
튼튼한 우드를 칭하는 걸로도 보일 수 있겠네요.
개인적인 생각이지만 tight(엄격한)로 보면
엄격하게 전통을 이어오는 모습을 보는듯합니다.
그저 지나가는 테트리스의 발음을 꼬아놓은게 아닌
스토리에 맞게 이름을 각색해놓은것을 느끼고 소름끼쳤습니다.

결론은 뭐다? 갓스파드 찬양해"
2197,"계획대로 되고있어
OK 계획대로 되고있어"
2198,경환이도 보면볼수록 사람 진짜 괜찮은것 같음
2199,낄끼빠빠 해주세요
2200,그나저나 라일라 얼굴 저렇게 많이 노출된 경우 많이 없는데... 역시 엄청난 미모입니다...
2201,의현이랑 해수의 차이를 이렇게 명확하게 표현해주셨네요.. 같은 어려운일을 겪었지만 해수는 복수라는 알량한 감정을 품었고 의현이는 나라를 사랑하는 마음을 깨닫게 되었네요. 근데 물론 해수가 태도도 그렇고 매우 잘못했지만 해수를 마냥 미워할 수 없는건 만약 제 가족이 그 시대에서 참변을 당했다면 저는 정신놓고 완전히 미쳐버렸을것 같더라구요. 큰 상처를 안고 독립운동을 한다는 것 자체는 무시하면 안 된다는 생각이 들어요.
2202,민우X바람 조합 최고...너희관계 얼른 더 보고싶다ㅠㅠㅠㅠㅠ
2203,텐테ㅔㅔ테레텐테텐♥♥♥♥♥♥
2204,진짜 개사이다다... 쌤 시은이 막지마요ㅠㅠ 더 뒤지게 쳐뒤져야해요ㅠ
2205,새사랑은 못찾아도 옛사랑은 찾겠지..ㅎ
2206,부부싸움을 점으로 알게 되다니
2207,새삼 진짜 삼신은 기분 나쁠 거래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2208,백한도 밑바닥부터 부득부득 올라온것같은데 어떤 행보를 보일지 기대된다
2209,에잉 잡화점 할아버지때문에 들켰네
2210,왕자 도서부장이라고 밀고가겠습니다 충성
2211,길몽이랑 흉몽을모르는사람이많네...저런풀이가 베댓이되다니ㅋㅋㅋㅋ
2212,새해복 많이받으세요
2213,울고싶은데 울 곳이 없어서 다리가 아프도록 정처없이 걸어다니다가 지쳐서 지하철역 벤치에 앉았습니다. 근데 옆자리에 여자분 한분이 술취한듯 비틀비틀 걸어오더니 털퍽 소리가 나게 앉습니다. 그러더니 조금씩 어깨가 들먹이기 시작합니다. 그러다 점점 참지 못하고 흐느끼는 소리가 새어 나옵니다. 울고싶은건 난데...나도 울고싶었는데....아무나 다 같이 모여 울 수 있는 통곡의 벽이라도 있었으면 좋겠습니다. 누구의 눈치도 안보고 실컷 울 수 있게요. 아픈 사람이 너무 많은 세상입니다.
2214,"유미는 파괴광선을 썼다
효과는 굉장했다!
루비는 화상데미지를 입고있다"
2215,부와 명예를 마다할만큼 집이 지옥같았는데 다시 들어간다니 ㅠㅠ허조교의 인생을 망칠까봐 걱정되는 마음과 사랑이 너무 큰가봄
2216,단언컨데 이 세계관 가장 완벽한 괴물은 진혁이형님입니다.
2217,"와중에 아기야가 엄마한테 전하고 싶은 말이 있었다는게 더 슬프네요. 동양적인 령에 대해 그렇게 인정하는 편은 아니지만 아기 영혼은 그냥 내 엄마 아빠라서 당연히 너무나도 편안한 존재라서 그냥 엄마 아빠옆에 머문다고 하지요.  자기가 죽었는지도 모르면서요. 이제 엄마 아빠 만난줄 알고. 말이죠. 

저 꼬마 아가야도 엄마를 구하고 더 좋은 곳으로 가면 좋겠네요. 엄마 품이 너무나 좋고 그립겠지만."
2218,"아랑사 우물거리는거 안귀여움????
산군볼에다가 우물우물 안귀여움???
귀염터지는데..."
2219,유정 설이가 다른거라해주고난뒤 아버지한테도 동기들한테도 딱자를줄알게된듯
2220,ㅋㅋㅋㅋ 소아성애랑 동성애 동일시하는 생각없는 사람들도 있네 ㅋㅋㅋㅋㅋ ㄱㅇㄱ
2221,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ야 홍구야ㅠ 너 얼굴보다 작은애를ㅠㅠ
2222,얼굴도 잘생겼는데 말 까지 이쁘게하네 이러니깐 반할수밖에없지
2223,ㅋㅋㅋㅋ귀여운것들 ㅋㅋㅋㅋㅋㅋㅋㅋ
2224,한번 대학생처럼 놀아보고 싶었어ㅠㅠㅠㅠ 아 눈물난다
2225,와...역시 위가 맑으면 아래도 맑은건 진짠가부당
2226,그래서..? 4호가 한나의 '연인'이라고요? 어머.. 이 예쁜언니들이.... 난 이결혼 찬성일세
2227,와 썸네일 퀄리티 개오진다
2228,나만 혜성이 건우인줄 알았나요...
